question,answer_uk,answer_us,category
"In general, what kind of influence has the increasing use of the Internet in our country had on each of the following things. Has the increasing use of the Internet had a good influence, a bad influence, or no influence at all?...morality."," ""Bad influence"""," ""Bad influence""",A. Social values and attitudes
To what extent are you concerned that the violence in Syria will spread to neighboring countries?," ""Very concerned"""," ""Somewhat concerned""",G. International affairs
"Which statement comes closer to your own views, even if neither is exactly right: The European Union should negotiate international trade agreements on behalf of Germany, or The German government should negotiate trade agreements for Germany rather than the EU.",The European Union should negotiate international trade agreements on behalf of Germany,"When dealing with major international issues, our country should follow its own interests, even when other countries strongly disagree",D. Politics and policy
Do you approve or disapprove of the way...Arizona Governor Jan Brewer...is dealing with the new Arizona immigration law?," ""Disapprove"""," ""Approve""",K. Immigration and migration
Which is more important for Germany -- to have strong ties with the United States or strong ties with Russia?," ""Strong ties with the United States"""," ""Strong ties with the United States""",O. Regions and countries
"Some countries are considering a ban on Muslim women wearing full veils that cover all of the face except the eyes in public places including schools, hospitals, and government offices. Would you approve or disapprove of such a ban in your country?"," ""Approve"""," ""Disapprove""",D. Politics and policy
"Generally speaking, how much do you think Japan can trust the United States?",Fair amount,Fair amount,G. International affairs
I'd like you to rate some different groups of people in your country...Whites,Mostly favorable,Mostly favorable,M. Race and ethnicity
Which of these characteristics do you associate with Muslims?...Greedy,No,No,A. Social values and attitudes
Thinking about some political leaders and organizations in our country...Raja Pervez Ashraf,Somewhat unfavorable,Somewhat unfavorable,D. Politics and policy
"Thinking of Egypt's relationship with the United States, in the future...",About as close to the United States,About as close to the United States,G. International affairs
immigrants traveling through our country from Central America to the United States,Small problem,Moderately big problem,K. Immigration and migration
Which of these characteristics do you associate with the Chinese people?...Selfish,No,No,O. Regions and countries
"Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of ____. e. On The Move",Somewhat favorable,Somewhat favorable,H. Internet and technology
Now I'm going to read a list of political leaders. For each...U.S. Presidential candidate Barack Obama,Some confidence,A lot of confidence,D. Politics and policy
"Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable, or very unfavorable opinion of...Egypt",Somewhat unfavorable,Somewhat unfavorable,O. Regions and countries
"All things considered, do you think that Muslim nations should be more economically prosperous than they are today?","Yes, should be more prosperous","Yes, should be more prosperous",O. Regions and countries
Do you approve or disapprove of the way President Vladimir Putin is handling each of the following areas?...relations with the European Union,Disapprove,Disapprove,D. Politics and policy
I'm going to read a list of some countries where people might go on vacation. Would you be interested in going to…Japan?,Somewhat interested,Very interested,O. Regions and countries
"Do you have friends or relatives who live in another country that you write to, telephone or visit regularly?",Yes,Yes,L. Family and relationships
Would you say that each of the following is doing a good or bad job dealing with global climate change? e. the European Union,Somewhat good job,Somewhat good job,G. International affairs
Would you favor or oppose allowing the U.S. and its allies to use bases in Turkey for military action in Iraq to end Saddam Hussein's rule?,Oppose,Favor,G. International affairs
"Which of these comes closer to your view?...Our traditional way of life is getting lost, OR our traditional way of life remains strong",Our traditional way of life is getting lost,Our traditional way of life remains strong,A. Social values and attitudes
"Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable, or very unfavorable opinion of...Hezbollah",Very unfavorable,Very unfavorable,G. International affairs
Some people say the following things are important to them...To be safe from crime?,Very important,Very important,Q. Security
Before the war the U.S. and Britain claimed that Iraq had weapons of mass destruction. Why do you think they made this claim?,US and British leaders lied to provide a reason for invading,US and British leaders were  misinformed by bad intelligence,D. Politics and policy
"Now I'd like to ask your views about some additional political leaders. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable, or very unfavorable opinion: a. Mohamed Tantawi.",DK/Refused,DK/Refused,D. Politics and policy
Do you think the government of ____ respects the personal freedoms of its people or don’t you think so? c. the public.,"Yes, respects personal freedoms","Yes, respects personal freedoms",D. Politics and policy
"In your opinion, should we allow more refugees from Syria and Iraq into our country, fewer refugees or about the same as we do now?",Fewer refugees,About the same as now,K. Immigration and migration
Now I am going to read you a list of things that may be problems for the U.S. The large amount of American debt that is held by China...,Very serious problem,Very serious problem,D. Politics and policy
"Now I'd like to ask your views about some additional political leaders. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable, or very unfavorable opinion of Felipe Calderón?",DK/Refused,Somewhat favorable,D. Politics and policy
"In your opinion, how much of an effect have the Western sanctions on Russia had on our economy - major effect, minor effect or no effect at all?",Minor effect,Minor effect,N. Economy and work
"And thinking about some political leaders and organizations in our country, please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable, or very unfavorable opinion of Supreme Council of the Armed Forces?",Somewhat unfavorable,DK/Refused,D. Politics and policy
"And thinking about U.S. policy toward China, how important do you think each of the following is,very important, somewhat important, not too important, or not at all important?...be tough with China on economic and trade issues.",Very important,Very important,D. Politics and policy
"I'd like you to rate some different groups of people in your country according to how you feel about them.  For each group, please tell me whether your opinion is very favorable, mostly favorable, mostly unfavorable or very unfavorable?...Czechs.",Mostly favorable,Mostly favorable,E. Demographics
"Do you think the your country government should provide financial assistance to other European Union countries that have major financial problems, or don't you think the government should do this?","Yes, provide","No, do not provide",D. Politics and policy
Do you think it's a good thing or a bad thing that people from Eastern Europe come to live and work in this country?,Good,Good,K. Immigration and migration
"I'd like your opinion about some possible international concerns for your country. What if the Taliban regained control of Afghanistan, would this be a major threat, a minor threat or not a threat to the well being of your country?",Major threat,Major threat,G. International affairs
"Now I'm going to read you a list of countries.  For each one, please tell me whether you would favor or oppose admitting it into the European Union in the next ten years...Turkey.",Oppose,DK/Refused,O. Regions and countries
"Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable, or very unfavorable opinion of...Hamas.",Very unfavorable,Very unfavorable,G. International affairs
Do you think ____ tries to influence the internal affairs of other countries or do you think ____ mostly stays out of the internal affairs of other countries? d. Canada.,Mostly stays out of the internal affairs of other countries,Mostly stays out of the internal affairs of other countries,O. Regions and countries
"I'd like your opinion about some possible international concerns for your country. Do you think that political instability in Pakistan is a major threat, a minor threat or not a threat to your country?",Minor threat,Minor threat,G. International affairs
"Which of these characteristics do you associate with (the Chinese, the Japanese)?...Arrogant...",No,No,M. Race and ethnicity
Some countries have decided to ban the wearing of 'Burqa' by Muslim women in public places including schools. Do you think this is a good idea or a bad idea?,Bad idea,Bad idea,D. Politics and policy
"Some say that people who get ahead these days do so mainly at the expense of other people, others say that people who get ahead these days do so because they have more ability and ambition than other people - which comes closer to your point of view?",Ability and ambition,Ability and ambition,A. Social values and attitudes
"Do you think the United States plays a more important and powerful role as a world leader today compared to 10 years ago, a less important role or about as important a role as a world leader as it did 10 years ago?",Less important role,As important as 10 years ago,G. International affairs
"Here are some things that may be part of a free trade agreement with the European Union. Please tell me if you strongly support, somewhat support, somewhat oppose, or strongly oppose...Removing all duties that increase the price of goods imported from the [GERMANY: U.S. / U.S.: European Union].",Somewhat support,Strongly support,O. Regions and countries
Do you think media organizations should be able to publish information about these types of things OR the government should be able to prevent media organizations from publishing information about these types of things in some circumstances. c. sensitive issues related to national security.,Government should be able to prevent media organizations from publishing information about these things,Media organizations should be able to publish information about these things,D. Politics and policy
"What do you think about the growing trade and business ties between your country and other countries - do you think it is a very good thing, somewhat good, somewhat bad or a very bad thing for our country?",Somewhat good,Very good,O. Regions and countries
"Please tell me whether you completely agree, mostly agree, mostly disagree, or completely disagree with the following statements...When jobs are scarce, men should have more right to a job than women.",Completely disagree,Completely disagree,I. Gender and LGBTQ
"Now I’d like to ask your views about some leaders and organizations in our country. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable, or very unfavorable opinion of...Petro Poroshenko?",Somewhat unfavorable,Somewhat unfavorable,D. Politics and policy
"And as a consequence of the war, do you have more confidence or less confidence that the US wants to promote democracy all around the world?",Less,Same (VOL.),D. Politics and policy
"Which statement comes closer to your own views, even if neither is exactly right? We should reduce air pollution even if it means slower economic growth, Air pollution is the price we have to pay for continued economic growth.",We should reduce air pollution even if it means slower economic growth,We should reduce air pollution even if it means slower economic growth,N. Economy and work
Do you approve or disapprove of the job the government has done in dealing with the swine flu?,Disapprove,Approve,D. Politics and policy
"Now I'd like to ask your views about some additional political leaders. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable, or very unfavorable opinion of Andrés Manuel López Obrador?",Somewhat unfavorable,Somewhat unfavorable,D. Politics and policy
"Do you think that the Salvadoran government is making progress in its campaign against urban gangs, losing ground, or are things about the same as they have been in the past?",Same as they have been in the past,Same as they have been in the past,D. Politics and policy
"I'm going to read you a list of issues that human rights organizations in your country might work on. As I read each one, please tell me how much of a priority you think it should be for these organizations - a top priority, important but lower priority, not too important or should human rights organizations in your country not work on this issue. b. promoting free speech and freedom of the press.",Top priority,Top priority,D. Politics and policy
"For each of the following statements about the missile strikes, please tell me whether you agree or disagree. They are being done without the approval of the Pakistani government.",Agree,Agree,G. International affairs
"In your opinion, how many Russians do you think are hostile toward Muslims - would you say most, many, just some or very few?",Just some,Just some,E. Demographics
"I’m going to read you a list of things your country might do in dealing with developing countries. As I read each one, please tell me if you would support or oppose it. c. increasing your nationality companies' investment in developing countries.",Support,Support,O. Regions and countries
"How likely are you personally to take political action on __ , such as contact an elected official or participate in a demonstration? b. government corruption.",Somewhat likely,Very likely,D. Politics and policy
"Now, thinking about some possible economic concerns for the country. Do you think that rising prices pose(s) a major threat, a minor threat, or no threat to the economic well being of your country?",Major threat,Major threat,N. Economy and work
"Now I am going to read you a list of things that may be problems in our country.  As I read each one, please tell me if you think it is a very big problem, a moderately big problem, a small problem or not a problem at all...The situation in Kashmir.",Moderately big problem,Small problem,O. Regions and countries
"(Now I am going to read you a list of things that may be problems in our country. As I read each one, please tell me if you think it is a very big problem, a moderately big problem, a small problem or not a problem at all.)...Quality of manufactured goods.",Moderately big problem,Moderately big problem,N. Economy and work
"Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable, or very unfavorable opinion of...British Prime Minister Tony Blair.",Somewhat favorable,Somewhat unfavorable,D. Politics and policy
"Please tell me if, in your opinion, the Bharatiya Janata Party (BJP) or the Indian National Congress (INC) party could do a better job in each of the following areas...Limiting rising prices?",Other (VOL),Other (VOL),D. Politics and policy
"Thinking about the economic consequences of the [insert local term for coronavirus outbreak], have the European Union’s economic relief efforts gone too far, not gone far enough or been about right?",Not gone far enough,Been about right,D. Politics and policy
"And thinking about some political leaders and organizations in our country, please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable, or very unfavorable opinion of…Republican Party.",Very unfavorable,Somewhat favorable,D. Politics and policy
"Please tell me if you completely agree, mostly agree, mostly disagree, or completely disagree with...It's necessary for the future of our country to be active in world affairs.",Mostly agree,Completely agree,G. International affairs
Please tell me how important each of the following is in a democracy to you...Political stability?,Very important,Very important,D. Politics and policy
For each one please tell me if you think the your nationality government should make decisions about this issue for ...   a. international trade agreements.,(Survey country) should make decisions,Both (VOL),D. Politics and policy
"Now I'm going to read a list of political leaders. For each, tell me how much confidence you have in each leader to do the right thing regarding world affairs - U.S. Secretary of State Hillary Clinton."," ""Some confidence"""," ""A lot of confidence""",D. Politics and policy
"Please tell me how worried you are about each of the following issues related to Muslims living in your country...the influence of music, movies and television on Muslim youth."," ""Not too worried"""," ""Somewhat worried""",M. Race and ethnicity
"I'd like your opinion about some possible international concerns for your country. Do you think that China's power and influence is a major threat, a minor threat or not a threat to your country?"," ""Minor threat"""," ""Major threat""",G. International affairs
"Now I'd like to ask your views about some additional political leaders. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable, or very unfavorable opinion of Marcelo Ebrard."," ""DK/Refused"""," ""Somewhat favorable""",D. Politics and policy
"Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of ____? e. Saudi King Salman."," ""Somewhat unfavorable"""," ""Somewhat unfavorable""",O. Regions and countries
"Now I am going to read you a list of things that may be problems in our country. As I read each one, please tell me if you think it is a very big problem, a moderately big problem, a small problem or not a problem at all...public debt."," ""Moderately big problem"""," ""Very big problem""",D. Politics and policy
"Which comes closer to describing your view?...I like Chinese music, movies and television, OR I dislike Chinese music, movies and television.","I dislike Chinese music, movies and television","I like Chinese music, movies and television",O. Regions and countries
How likely do you think it is that women in our country will eventually have the same rights as men?," ""Very likely"""," ""Women already have the same rights as men (DO NOT READ)""",A. Social values and attitudes
"Overall, do you think women will have more rights, fewer rights, or about the same rights under the Ennahda Party-led government as they had in the past?"," ""About the same"""," ""Fewer rights""",D. Politics and policy
"Now I am going to read you a list of things that may be problems in our country. As I read each one, please tell me if you think it is a very big problem, a moderately big problem, a small problem or not a problem at all...Water pollution."," ""Very big problem"""," ""Moderately big problem""",D. Politics and policy
"Overall, do you think the U.S. response to the political situation in Egypt has had a positive impact or a negative impact on the way things are going now in Egypt?"," ""Negative"""," ""Positive""",D. Politics and policy
I am going to list some different political and social actions that people can take. Have you done this ... d. posted your own thoughts or comments on political or social issues ONLINE.," ""Have done in the more distant past"""," ""Have done in the past year""",H. Internet and technology
"Do you support or oppose Sweden becoming a member of NATO, that is, North Atlantic Treaty Organization?"," ""Oppose"""," ""Support""",D. Politics and policy
Some people say the protests for fair elections are the result of efforts by Western powers to destabilize Russia. Others say the protests are the result of genuine Russian dissatisfaction with the conduct of the elections.," ""Result of Russian dissatisfaction"""," ""Result of Russian dissatisfaction""",D. Politics and policy
"As I read another list of statements, for each one, please tell me whether you completely agree, mostly agree, mostly disagree or completely disagree with it...Religion is a matter of personal faith and should be kept separate from government policy."," ""Completely agree"""," ""Mostly agree""",D. Politics and policy
(Now/Thinking about the Chinese people...) Which of these characteristics do you associate with the Chinese people?...Modern...," ""Yes"""," ""Yes""",O. Regions and countries
"I am going to read you a list of things that may be problems for the U.S. For each one please tell me if you think it is a very serious problem, somewhat serious, not too serious or not a problem at all. g. territorial disputes between China and neighboring countries."," ""Somewhat serious"""," ""Very serious""",O. Regions and countries
"Which of the following concerns you most about Islamic extremism in our country today...it is violent, it will lead to people having fewer personal freedoms and choices, it will divide the country, or it will hurt the country's economy?"," ""It is violent"""," ""It is violent""",B. Religion and spirituality
"Do you personally believe that gambling is morally acceptable, morally unacceptable, or is it not a moral issue?"," ""Morally unacceptable"""," ""Not a moral issue""",A. Social values and attitudes
Do you think it's a good thing or a bad thing that Mexicans and Latin Americans come to live and work in this country?," ""Good"""," ""Good""",K. Immigration and migration
"Who do you think is conducting these drone attacks, the Pakistani government, the United States government, or someone else?",U.S. government,U.S. government,G. International affairs
"Which one of these comes closest to your opinion, number 1 or number 2?",Homosexuality should be accepted by society,Homosexuality should be accepted by society,P. Methodological research
Which comes closer to describing your view?,I do not like the pace of modern life,I like the pace of modern life,Methodological research
"As I read some policies of U.S. President Donald Trump, please tell me if you approve or disapprove of each one.",Disapprove,Approve,D. Politics and policy
"Do you approve or disapprove of the way the European Union is dealing with the United Kingdom leaving the EU, also known as Brexit?",Disapprove,Approve,G. International affairs
Lack of clean drinking water.,Small problem,Small problem,C. Science and technology
And how good a job is German Chancellor Angela Merkel doing in dealing with the European economic crisis?,Somewhat good,Somewhat good,D. Politics and policy
"To deal with Europe's economic problems, would you favor or oppose giving more decision-making power to the European Union?",Oppose,Oppose,D. Politics and policy
"Overall, do you think that the quality of life for Muslim women in your country is better, worse, or about the same as the quality of life for women in most Muslim countries?",Better,Better,B. Religion and spirituality
"Now I'd like to ask you about some political parties. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of...the PRI (Partido Revolucionario Institucional).",Somewhat unfavorable,Somewhat unfavorable,D. Politics and policy
"Which of these characteristics do you associate with (the Chinese, the Japanese)?",Yes,Yes,O. Regions and countries
"Which statement comes closer to your view, even if neither is exactly right?",Recovering from the effects of the coronavirus outbreak in ways that show the strengths of its economic system,Recovering from the effects of the coronavirus outbreak in ways that show the strengths of its economic system,P. Methodological research
"Thinking about people in our country who do not have a job, in general would you say this is mostly their own fault or is it mostly because of forces outside their control?",Mostly because of forces outside their control,Mostly because of forces outside their control,N. Economy and work
"As I read a pair of phrases, tell me which one better describes George W. Bush...",Understands Europe less than most other US presidents,Understands Europe less than most other US presidents,D. Politics and policy
Please tell me what kind of influence the group is having on the way things are going in your country.,Somewhat bad,Somewhat bad,D. Politics and policy
"Thinking about your country's future, how important is it that: g. economic conditions improve?",Very important,Very important,N. Economy and work
"Thinking about JOE BIDEN’s ability to handle a number of things, how confident are you that Joe Biden can do each of the following?",Not too confident,Not too confident,D. Politics and policy
"Generally speaking, do you think ____ plays a more important role in the Middle East today compared with 10 years ago?",More important role,More important role,O. Regions and countries
Which of these characteristics do you associate with Muslims?,No,No,B. Religion and spirituality
"Thinking about your country's future, how important is it that: c. there is a judicial system that treats everyone in the same way?",Very important,Very important,D. Politics and policy
(Do you approve or disapprove of the way Prime Minister Narendra Modi is handling each of the following areas?)...Helping the poor.,DK/Refused,DK/Refused,D. Politics and policy
"Overall, would you say U.S. economic aid to your country is having a mostly positive impact, a mostly negative impact, or no impact on the way things are going in your country?",No impact,Mostly positive,D. Politics and policy
"I'd like you to rate some different groups of people in your country according to how you feel about them. For each group, please tell me whether your opinion is very favorable, mostly favorable, mostly unfavorable or very unfavorable?...North Africans.",Mostly favorable,Mostly favorable,M. Race and ethnicity
"How much, if anything, have you read or heard about the recalls of food and goods manufactured and sold here in China over the past year?",A little,A little,O. Regions and countries
Do you agree or disagree with the following statement? A university education is more important for a boy than for a girl.,Completely disagree,Completely disagree,I. Gender and LGBTQ
Which concerns you more about the United States – its economic strength or its military strength?,Its economic strength,Its military strength,N. Economy and work
How much of a danger is the current government in...Syria to stability in the Middle East and world peace?,Moderate danger,Moderate danger,G. International affairs
"For each of the following statements about the drone attacks, please tell me whether you agree or disagree...they are necessary to defend Pakistan from extremist groups.",Disagree,Disagree,C. Science and technology
Do you favor or oppose the following? Stoning people who commit adultery.,Oppose,Oppose,B. Religion and spirituality
Which statement comes closer to your own views even if neither is exactly right? Some religions are more prone to violence than others; OR All religions are about the same when it comes to violence.,All religions are about the same when it comes to violence,Some religions are more prone to violence than others,B. Religion and spirituality
"On another topic, in your view, is global climate change a very serious problem, somewhat serious, not too serious, or not a problem?",Very serious,Very serious,C. Science and technology
"I'd like your opinion about some possible international concerns for your country. Do you think that ___ is a major threat, a minor threat, or not a threat to your country? h. Global poverty.",Minor threat,Minor threat,G. International affairs
"Please tell me if you agree or disagree with the following statement...Men get more opportunities than women for jobs that pay well, even when women are as qualified as men for the job.",Mostly agree,Mostly agree,I. Gender and LGBTQ
Do you think most Muslims in our country today want to adopt your country customs and way of life or do you think they want to be distinct from the larger your country society?,Both (VOL),Both (VOL),B. Religion and spirituality
"Now thinking about U.S. trade with particular countries. Do you think increased trade with Japan would be a very good thing, somewhat good, somewhat bad or a very bad thing for our country?",Somewhat good,Somewhat good,O. Regions and countries
"Do you think a woman should choose her own husband, or do you think it is better for a woman's family to choose her husband?",Woman should choose,Woman should choose,A. Social values and attitudes
"In general, would you say your friends or relatives who live in the U.S. have achieved their goals, or have they been disappointed?",Been disappointed,Achieved their goals,L. Family and relationships
"Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable, or very unfavorable opinion of...Fatah.",Somewhat unfavorable,Somewhat unfavorable,O. Regions and countries
"Which statement comes closer to your own views, even if neither is exactly right? Hosting the World Cup is a good thing for Brazil, because it will create more jobs and help the economy, or Hosting the World Cup is a bad thing for Brazil, because we are spending money that should be used for schools, health care and other public services.",Bad,Bad,N. Economy and work
Do you think the EU should play a more active role or less active role in world affairs than it does today?," ""More active role"""," ""About the same (VOL)""",G. International affairs
"Which of the following phrases comes closer to your view? It's good that Chinese ideas and customs are spreading here, OR it’s bad that Chinese ideas and customs are spreading here."," ""It's good that Chinese ideas and customs are spreading here"""," ""It's good that Chinese ideas and customs are spreading here""",A. Social values and attitudes
"I'd like to ask your opinion about some international issues. Please tell me how concerned you are, if at all, about each of them - are you very concerned, somewhat concerned, not too concerned or not at all concerned?...global climate change"," ""Very concerned"""," ""Very concerned""",G. International affairs
"In your opinion, how many Muslims around the world support Islamic extremists like al Qaeda - would you say most, many, just some or very few?"," ""Just some"""," ""Just some""",B. Religion and spirituality
"And thinking about U.S. policy toward China, how important do you think each of the following is,very important, somewhat important, not too important, or not at all important?...build a strong relationship with China"," ""Very important"""," ""Very important""",D. Politics and policy
Please tell me how important each of the following is in a democracy to you...People of all faiths can practice their religion freely?," ""Very important"""," ""Very important""",B. Religion and spirituality
"In general, when American companies build factories in our country, does that mostly help or mostly hurt our economy?"," ""Mostly help"""," ""Mostly help""",N. Economy and work
"Have the changes that have taken place in your country since 1991 had a very good influence, a good influence, a bad influence or a very bad influence on the following: How hard people work?"," ""Good influence"""," ""Good influence""",N. Economy and work
Do you approve or disapprove of the recent military action by France against anti-government rebels in Mali?," ""Approve"""," ""Approve""",G. International affairs
"How much interest do you think the United States is now taking in what goes on in Latin America? Would you say it is taking a great deal of interest, a fair amount of interest, not too much interest, or is it taking no interest at all?"," ""Not too much"""," ""Fair amount""",O. Regions and countries
"As I read each one, please tell me if you think it is a very big problem, a moderately big problem, a small problem or not a problem at all...rising prices"," ""Very big problem"""," ""Moderately big problem""",N. Economy and work
Please tell me if you approve or disapprove of the way President Barack Obama is dealing with...the conflict between Israelis and Palestinians.," ""Approve"""," ""Disapprove""",D. Politics and policy
"Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of ____. e. Polish Peasant Party (PSL)"," ""DK/Refused"""," ""DK/Refused""",D. Politics and policy
Has each of the following gotten better or worse over the last five years in our country: the availability of food in stores.," ""Better"""," ""Better""",N. Economy and work
"I'd like to ask your opinion about some international issues. Please tell me how concerned you are, if at all, about each of them - are you very concerned, somewhat concerned, not too concerned or not at all concerned?...global economic instability"," ""Very concerned"""," ""Very concerned""",G. International affairs
"In re-building Iraq, how good a job are the US and its allies doing in taking into account the needs and interests of the Iraqi people? Is the coalition doing an excellent job, a good job, only a fair job or a poor job in taking into consideration the needs and interests of the Iraqi people?"," ""Only fair"""," ""Good""",G. International affairs
"In general, do you think the Saudi Arabian government favors or opposes democracy in the Middle East?"," ""Opposes"""," ""Opposes""",D. Politics and policy
"Please tell me how closely you follow each type of news. Do you follow ____ very closely, somewhat closely, not very closely or not at all closely? b. news about your country"," ""Very closely"""," ""Very closely""",J. News habits and media
"Overall, how much influence do you think Turkey is having on the way things are going in your country? Would you say it is having a great deal of influence, a fair amount, not too much, or no influence at all? (Ask if 'A great deal' or 'A fair amount':) Is this a good thing, a bad thing, or neither good nor bad?"," ""Neither"""," ""Neither""",G. International affairs
"Please tell me if you think the PRI, the PAN, or the PRD party could do a better job in each of the following areas. Which party could do a better job of dealing with unemployment? . These are the options: ['PRI', 'PAN', 'PRD', 'Other (VOL)', 'None (VOL)']",None (VOL),None (VOL),D. Politics and policy
"I'd like your opinion about some possible international concerns for your country. Do you think that ___ is a major threat, a minor threat, or not a threat to your country? i. Longstanding conflicts between countries or ethnic groups. These are the options: ['Major threat', 'Minor threat', 'Not a threat', 'DK/Refused']",Minor threat,Major threat,G. International affairs
"Which statement comes closer to your own views, even if neither is exactly right?. These are the options: [""Ordinary citizens can do a lot to influence (survey country)'s government if they are willing to make the effort"", 'Russia should intervene when there are threats to ethnic Russians in neighboring countries', 'Many of the problems facing our country can be solved by working with other countries', ""There's not much ordinary citizens can do to influence (survey country)'s government"", 'Russia should not intervene in the internal affairs of neighboring countries', 'Few of the problems facing our country can be solved by working with other countries', 'Both (VOL)', 'DK/Refused', 'Both (DO NOT READ)', 'Neither (VOL)', 'Neither (DO NOT READ)']",Ordinary citizens can do a lot to influence (survey country)'s government if they are willing to make the effort,Ordinary citizens can do a lot to influence (survey country)'s government if they are willing to make the effort,D. Politics and policy
"Here is a list of things that may be problems in our country. As I read each one, please tell me if you think it is a very big problem, a moderately big problem, a small problem, or not a problem at all...corrupt political leaders.. These are the options: ['Very big problem', 'Moderately big problem', 'Small problem', 'Not a problem at all', 'DK/Refused']",Moderately big problem,Very big problem,D. Politics and policy
"In your opinion, are India's police too tough, not tough enough, or about right when it comes to investigating cases of rape?. These are the options: ['Too tough', 'Not tough enough', 'About right']",Not tough enough,Not tough enough,D. Politics and policy
"I'm going to read a list of some changes that have taken place. Please tell me if you think each one has been a change for the better, a change for the worse, or hasn't it made much of a difference: the Internet.. These are the options: ['Change for the better', 'Change for the worse', 'Not much difference']",Change for the better,Change for the better,H. Internet and technology
"Overall, do you think that…Germany...has apologized sufficiently for its actions during World War II, that…Germany...has not apologized sufficiently or do you think no apology is necessary?. These are the options: ['Yes, has apologized sufficiently', 'No, has not apologized sufficiently', 'No apology necessary']","Yes, has apologized sufficiently","Yes, has apologized sufficiently",O. Regions and countries
"And which comes closer to describing your view? The United States promotes democracy wherever it can, OR the United States promotes democracy mostly where it serves its interests?. These are the options: ['The United States promotes democracy wherever it can', 'The United States promotes democracy mostly where it serves its interests']",The United States promotes democracy mostly where it serves its interests,The United States promotes democracy wherever it can,D. Politics and policy
"In your opinion, how likely is it that the May 25th elections in Ukraine will be fair? . These are the options: ['Very likely', 'Somewhat likely', 'Not too likely', 'Not at all likely']",Somewhat likely,Somewhat likely,D. Politics and policy
"Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable, or very unfavorable opinion of India?. These are the options: ['Very favorable', 'Somewhat favorable', 'Somewhat unfavorable', 'Very unfavorable', 'DK/Refused']",Somewhat favorable,Somewhat favorable,O. Regions and countries
"Which side do you identify with more in this struggle, moderate Muslims or Islamic fundamentalists?. These are the options: ['Moderate Muslims', 'Islamic fundamentalists']",Moderate Muslims,Moderate Muslims,B. Religion and spirituality
"Do you think the government of ____ respects the personal freedoms of its people or don’t you think so? c. France. These are the options: ['Yes, respects personal freedoms', 'No, does not respect personal freedoms', 'DK/Refused']","Yes, respects personal freedoms","Yes, respects personal freedoms",D. Politics and policy
"As I read some specific US policies tell me if you approve or disapprove of them...US policies in the Middle East. These are the options: ['Approve', 'Disapprove']",Disapprove,Approve,D. Politics and policy
"In your opinion, how much, if at all, does what happens in the American economy affect economic conditions in the rest of the world--a great deal, fair amount, not too much, or not at all?. These are the options: ['Great deal', 'Fair amount', 'Not too much', 'Not at all']",Great deal,Great deal,O. Regions and countries
"How important is it to have the following things in our country? Is it very important, somewhat important, not too important or not important at all? f. people can use the internet without <state or government> censorship. These are the options: ['Very important', 'Somewhat important', 'Not too important', 'Not important at all', 'DK/Refused']",Very important,Very important,D. Politics and policy
"Now I'm going to read a list of political leaders.  For each, tell me how much confidence you have in each leader to do the right thing regarding world affairs - a lot of confidence, some confidence, not too much confidence, or no confidence at all?...Brazilian President Luiz Inacio Lula da Silva.. These are the options: ['A lot of confidence', 'Some confidence', 'Not too much confidence', 'No confidence at all']",Some confidence,Some confidence,D. Politics and policy
"Please tell me if you approve or disapprove of the way President Barack Obama is dealing with...the situation in Afghanistan.. These are the options: ['Approve', 'Disapprove']",Approve,Approve,D. Politics and policy
"Which country do you think will win the 2010 World Cup?. These are the options: ['Argentina', 'Australia', 'Brazil', 'England', 'France', 'Germany', 'Italy', 'Spain', 'Other (VOL)']",England,Brazil,O. Regions and countries
"Now I'm going to read a list of political leaders.  For each, tell me how much confidence you have in each leader to do the right thing regarding world affairs - a lot of confidence, some confidence, not too much confidence, or no confidence at all?...Russian President Vladimir Putin. These are the options: ['A lot of confidence', 'Some confidence', 'Not too much confidence', 'No confidence at all', 'DK/Refused']",Not too much confidence,Not too much confidence,D. Politics and policy
"How concerned are you, if at all, that territorial disputes between China and neighboring countries could lead to a military conflict? Are you very concerned, somewhat concerned, not too concerned, or not at all concerned? . These are the options: ['Very concerned', 'Somewhat concerned', 'Not too concerned', 'Not at all concerned', 'DK/Refused']",Somewhat concerned,Very concerned,G. International affairs
