"question","answer_uk","answer_us"
"What do you think about the growing trade and business ties between your country and other countries - do you think it is a very good thing, somewhat good, somewhat bad or a very bad thing for our country?","Somewhat good","Very good"
"Please tell me whether you completely agree, mostly agree, mostly disagree, or completely disagree with the following statements...When jobs are scarce, men should have more right to a job than women.","Completely disagree","Completely disagree"
"Now I’d like to ask your views about some leaders and organizations in our country. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable, or very unfavorable opinion of...Petro Poroshenko?","Somewhat unfavorable","Somewhat unfavorable"
"And as a consequence of the war, do you have more confidence or less confidence that the US wants to promote democracy all around the world?","Less","Same (VOL.)"
"Which statement comes closer to your own views, even if neither is exactly right? We should reduce air pollution even if it means slower economic growth, Air pollution is the price we have to pay for continued economic growth.","We should reduce air pollution even if it means slower economic growth","We should reduce air pollution even if it means slower economic growth"
"Do you approve or disapprove of the job the government has done in dealing with the swine flu?","Disapprove","Approve"
"Now I'd like to ask your views about some additional political leaders. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable, or very unfavorable opinion of Andrés Manuel López Obrador?","Somewhat unfavorable","Somewhat unfavorable"
"Do you think that the Salvadoran government is making progress in its campaign against urban gangs, losing ground, or are things about the same as they have been in the past?","Same as they have been in the past","Same as they have been in the past"
"I'm going to read you a list of issues that human rights organizations in your country might work on. As I read each one, please tell me how much of a priority you think it should be for these organizations - a top priority, important but lower priority, not too important or should human rights organizations in your country not work on this issue. b. promoting free speech and freedom of the press.","Top priority","Top priority"
"For each of the following statements about the missile strikes, please tell me whether you agree or disagree. They are being done without the approval of the Pakistani government.","Agree","Agree"
"In your opinion, how many Russians do you think are hostile toward Muslims - would you say most, many, just some or very few?","Just some","Just some"
"I’m going to read you a list of things your country might do in dealing with developing countries. As I read each one, please tell me if you would support or oppose it. c. increasing your nationality companies' investment in developing countries.","Support","Support"
"How likely are you personally to take political action on __ , such as contact an elected official or participate in a demonstration? b. government corruption.","Somewhat likely","Very likely"
"Now, thinking about some possible economic concerns for the country. Do you think that rising prices pose(s) a major threat, a minor threat, or no threat to the economic well being of your country?","Major threat","Major threat"
"Now I am going to read you a list of things that may be problems in our country.  As I read each one, please tell me if you think it is a very big problem, a moderately big problem, a small problem or not a problem at all...The situation in Kashmir.","Moderately big problem","Small problem"
"(Now I am going to read you a list of things that may be problems in our country. As I read each one, please tell me if you think it is a very big problem, a moderately big problem, a small problem or not a problem at all.)...Quality of manufactured goods.","Moderately big problem","Moderately big problem"
"Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable, or very unfavorable opinion of...British Prime Minister Tony Blair.","Somewhat favorable","Somewhat unfavorable"
"Please tell me if, in your opinion, the Bharatiya Janata Party (BJP) or the Indian National Congress (INC) party could do a better job in each of the following areas...Limiting rising prices?","Other (VOL)","Other (VOL)"
"Thinking about the economic consequences of the [insert local term for coronavirus outbreak], have the European Union’s economic relief efforts gone too far, not gone far enough or been about right?","Not gone far enough","Been about right"
"And thinking about some political leaders and organizations in our country, please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable, or very unfavorable opinion of…Republican Party.","Very unfavorable","Somewhat favorable"
"Please tell me if you completely agree, mostly agree, mostly disagree, or completely disagree with...It's necessary for the future of our country to be active in world affairs.","Mostly agree","Completely agree"
"Please tell me how important each of the following is in a democracy to you...Political stability?","Very important","Very important"
"For each one please tell me if you think the your nationality government should make decisions about this issue for ...   a. international trade agreements.","(Survey country) should make decisions","Both (VOL)"
"Now I'm going to read a list of political leaders. For each, tell me how much confidence you have in each leader to do the right thing regarding world affairs - U.S. Secretary of State Hillary Clinton.", "Some confidence", "A lot of confidence"
"Please tell me how worried you are about each of the following issues related to Muslims living in your country...the influence of music, movies and television on Muslim youth.", "Not too worried", "Somewhat worried"
"I'd like your opinion about some possible international concerns for your country. Do you think that China's power and influence is a major threat, a minor threat or not a threat to your country?", "Minor threat", "Major threat"
"Now I'd like to ask your views about some additional political leaders. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable, or very unfavorable opinion of Marcelo Ebrard.", "DK/Refused", "Somewhat favorable"
"Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of ____? e. Saudi King Salman.", "Somewhat unfavorable", "Somewhat unfavorable"
"Now I am going to read you a list of things that may be problems in our country. As I read each one, please tell me if you think it is a very big problem, a moderately big problem, a small problem or not a problem at all...public debt.", "Moderately big problem", "Very big problem"
"Which comes closer to describing your view?...I like Chinese music, movies and television, OR I dislike Chinese music, movies and television.","I dislike Chinese music, movies and television","I like Chinese music, movies and television"
"How likely do you think it is that women in our country will eventually have the same rights as men?", "Very likely", "Women already have the same rights as men (DO NOT READ)"
"Overall, do you think women will have more rights, fewer rights, or about the same rights under the Ennahda Party-led government as they had in the past?", "About the same", "Fewer rights"
"Now I am going to read you a list of things that may be problems in our country. As I read each one, please tell me if you think it is a very big problem, a moderately big problem, a small problem or not a problem at all...Water pollution.", "Very big problem", "Moderately big problem"
"Overall, do you think the U.S. response to the political situation in Egypt has had a positive impact or a negative impact on the way things are going now in Egypt?", "Negative", "Positive"
"I am going to list some different political and social actions that people can take. Have you done this ... d. posted your own thoughts or comments on political or social issues ONLINE.", "Have done in the more distant past", "Have done in the past year"
"Do you support or oppose Sweden becoming a member of NATO, that is, North Atlantic Treaty Organization?", "Oppose", "Support"
"Some people say the protests for fair elections are the result of efforts by Western powers to destabilize Russia. Others say the protests are the result of genuine Russian dissatisfaction with the conduct of the elections.", "Result of Russian dissatisfaction", "Result of Russian dissatisfaction"
"As I read another list of statements, for each one, please tell me whether you completely agree, mostly agree, mostly disagree or completely disagree with it...Religion is a matter of personal faith and should be kept separate from government policy.", "Completely agree", "Mostly agree"
"(Now/Thinking about the Chinese people...) Which of these characteristics do you associate with the Chinese people?...Modern...", "Yes", "Yes"
"I am going to read you a list of things that may be problems for the U.S. For each one please tell me if you think it is a very serious problem, somewhat serious, not too serious or not a problem at all. g. territorial disputes between China and neighboring countries.", "Somewhat serious", "Very serious"
"Which of the following concerns you most about Islamic extremism in our country today...it is violent, it will lead to people having fewer personal freedoms and choices, it will divide the country, or it will hurt the country's economy?", "It is violent", "It is violent"
"Do you personally believe that gambling is morally acceptable, morally unacceptable, or is it not a moral issue?", "Morally unacceptable", "Not a moral issue"
"Do you think it's a good thing or a bad thing that Mexicans and Latin Americans come to live and work in this country?", "Good", "Good"
"Who do you think is conducting these drone attacks, the Pakistani government, the United States government, or someone else?",U.S. government,U.S. government
"Which one of these comes closest to your opinion, number 1 or number 2?",Homosexuality should be accepted by society,Homosexuality should be accepted by society
"Which comes closer to describing your view?",I do not like the pace of modern life,I like the pace of modern life
"As I read some policies of U.S. President Donald Trump, please tell me if you approve or disapprove of each one.",Disapprove,Approve
"Do you approve or disapprove of the way the European Union is dealing with the United Kingdom leaving the EU, also known as Brexit?",Disapprove,Approve
"Lack of clean drinking water.",Small problem,Small problem
"And how good a job is German Chancellor Angela Merkel doing in dealing with the European economic crisis?",Somewhat good,Somewhat good
"To deal with Europe's economic problems, would you favor or oppose giving more decision-making power to the European Union?",Oppose,Oppose
"Overall, do you think that the quality of life for Muslim women in your country is better, worse, or about the same as the quality of life for women in most Muslim countries?",Better,Better
"Now I'd like to ask you about some political parties. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of...the PRI (Partido Revolucionario Institucional).",Somewhat unfavorable,Somewhat unfavorable
"Which of these characteristics do you associate with (the Chinese, the Japanese)?",Yes,Yes
"Which statement comes closer to your view, even if neither is exactly right?",Recovering from the effects of the coronavirus outbreak in ways that show the strengths of its economic system,Recovering from the effects of the coronavirus outbreak in ways that show the strengths of its economic system
"Thinking about people in our country who do not have a job, in general would you say this is mostly their own fault or is it mostly because of forces outside their control?",Mostly because of forces outside their control,Mostly because of forces outside their control
"As I read a pair of phrases, tell me which one better describes George W. Bush...",Understands Europe less than most other US presidents,Understands Europe less than most other US presidents
"Please tell me what kind of influence the group is having on the way things are going in your country.",Somewhat bad,Somewhat bad
"Thinking about your country's future, how important is it that: g. economic conditions improve?",Very important,Very important
"Thinking about JOE BIDEN’s ability to handle a number of things, how confident are you that Joe Biden can do each of the following?",Not too confident,Not too confident
"Generally speaking, do you think ____ plays a more important role in the Middle East today compared with 10 years ago?",More important role,More important role
"Which of these characteristics do you associate with Muslims?",No,No
"Thinking about your country's future, how important is it that: c. there is a judicial system that treats everyone in the same way?",Very important,Very important
"(Do you approve or disapprove of the way Prime Minister Narendra Modi is handling each of the following areas?)...Helping the poor.",DK/Refused,DK/Refused
"Overall, would you say U.S. economic aid to your country is having a mostly positive impact, a mostly negative impact, or no impact on the way things are going in your country?",No impact,Mostly positive
"I'd like you to rate some different groups of people in your country according to how you feel about them. For each group, please tell me whether your opinion is very favorable, mostly favorable, mostly unfavorable or very unfavorable?...North Africans.",Mostly favorable,Mostly favorable
"How much, if anything, have you read or heard about the recalls of food and goods manufactured and sold here in China over the past year?",A little,A little
"Do you agree or disagree with the following statement? A university education is more important for a boy than for a girl.",Completely disagree,Completely disagree
"Which concerns you more about the United States – its economic strength or its military strength?",Its economic strength,Its military strength
"How much of a danger is the current government in...Syria to stability in the Middle East and world peace?",Moderate danger,Moderate danger
"For each of the following statements about the drone attacks, please tell me whether you agree or disagree...they are necessary to defend Pakistan from extremist groups.",Disagree,Disagree
"Do you favor or oppose the following? Stoning people who commit adultery.",Oppose,Oppose
"Which statement comes closer to your own views even if neither is exactly right? Some religions are more prone to violence than others; OR All religions are about the same when it comes to violence.",All religions are about the same when it comes to violence,Some religions are more prone to violence than others
"On another topic, in your view, is global climate change a very serious problem, somewhat serious, not too serious, or not a problem?",Very serious,Very serious
"I'd like your opinion about some possible international concerns for your country. Do you think that ___ is a major threat, a minor threat, or not a threat to your country? h. Global poverty.",Minor threat,Minor threat
"Please tell me if you agree or disagree with the following statement...Men get more opportunities than women for jobs that pay well, even when women are as qualified as men for the job.",Mostly agree,Mostly agree
"Do you think most Muslims in our country today want to adopt your country customs and way of life or do you think they want to be distinct from the larger your country society?",Both (VOL),Both (VOL)
"Now thinking about U.S. trade with particular countries. Do you think increased trade with Japan would be a very good thing, somewhat good, somewhat bad or a very bad thing for our country?",Somewhat good,Somewhat good
"Do you think a woman should choose her own husband, or do you think it is better for a woman's family to choose her husband?",Woman should choose,Woman should choose
"In general, would you say your friends or relatives who live in the U.S. have achieved their goals, or have they been disappointed?",Been disappointed,Achieved their goals
"Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable, or very unfavorable opinion of...Fatah.",Somewhat unfavorable,Somewhat unfavorable
"Which statement comes closer to your own views, even if neither is exactly right? Hosting the World Cup is a good thing for Brazil, because it will create more jobs and help the economy, or Hosting the World Cup is a bad thing for Brazil, because we are spending money that should be used for schools, health care and other public services.",Bad,Bad
"Do you think the EU should play a more active role or less active role in world affairs than it does today?", "More active role", "About the same (VOL)"
"Which of the following phrases comes closer to your view? It's good that Chinese ideas and customs are spreading here, OR it’s bad that Chinese ideas and customs are spreading here.", "It's good that Chinese ideas and customs are spreading here", "It's good that Chinese ideas and customs are spreading here"
"I'd like to ask your opinion about some international issues. Please tell me how concerned you are, if at all, about each of them - are you very concerned, somewhat concerned, not too concerned or not at all concerned?...global climate change", "Very concerned", "Very concerned"
"In your opinion, how many Muslims around the world support Islamic extremists like al Qaeda - would you say most, many, just some or very few?", "Just some", "Just some"
"And thinking about U.S. policy toward China, how important do you think each of the following is,very important, somewhat important, not too important, or not at all important?...build a strong relationship with China", "Very important", "Very important"
"Please tell me how important each of the following is in a democracy to you...People of all faiths can practice their religion freely?", "Very important", "Very important"
"In general, when American companies build factories in our country, does that mostly help or mostly hurt our economy?", "Mostly help", "Mostly help"
"Have the changes that have taken place in your country since 1991 had a very good influence, a good influence, a bad influence or a very bad influence on the following: How hard people work?", "Good influence", "Good influence"
"Do you approve or disapprove of the recent military action by France against anti-government rebels in Mali?", "Approve", "Approve"
"How much interest do you think the United States is now taking in what goes on in Latin America? Would you say it is taking a great deal of interest, a fair amount of interest, not too much interest, or is it taking no interest at all?", "Not too much", "Fair amount"
"As I read each one, please tell me if you think it is a very big problem, a moderately big problem, a small problem or not a problem at all...rising prices", "Very big problem", "Moderately big problem"
"Please tell me if you approve or disapprove of the way President Barack Obama is dealing with...the conflict between Israelis and Palestinians.", "Approve", "Disapprove"
"Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of ____. e. Polish Peasant Party (PSL)", "DK/Refused", "DK/Refused"
"Has each of the following gotten better or worse over the last five years in our country: the availability of food in stores.", "Better", "Better"
"I'd like to ask your opinion about some international issues. Please tell me how concerned you are, if at all, about each of them - are you very concerned, somewhat concerned, not too concerned or not at all concerned?...global economic instability", "Very concerned", "Very concerned"
"In re-building Iraq, how good a job are the US and its allies doing in taking into account the needs and interests of the Iraqi people? Is the coalition doing an excellent job, a good job, only a fair job or a poor job in taking into consideration the needs and interests of the Iraqi people?", "Only fair", "Good"
"In general, do you think the Saudi Arabian government favors or opposes democracy in the Middle East?", "Opposes", "Opposes"
"Please tell me how closely you follow each type of news. Do you follow ____ very closely, somewhat closely, not very closely or not at all closely? b. news about your country", "Very closely", "Very closely"
"Overall, how much influence do you think Turkey is having on the way things are going in your country? Would you say it is having a great deal of influence, a fair amount, not too much, or no influence at all? (Ask if 'A great deal' or 'A fair amount':) Is this a good thing, a bad thing, or neither good nor bad?", "Neither", "Neither"
"Please tell me if you think the PRI, the PAN, or the PRD party could do a better job in each of the following areas. Which party could do a better job of dealing with unemployment? . These are the options: ['PRI', 'PAN', 'PRD', 'Other (VOL)', 'None (VOL)']","None (VOL)","None (VOL)"
"I'd like your opinion about some possible international concerns for your country. Do you think that ___ is a major threat, a minor threat, or not a threat to your country? i. Longstanding conflicts between countries or ethnic groups. These are the options: ['Major threat', 'Minor threat', 'Not a threat', 'DK/Refused']","Minor threat","Major threat"
"Which statement comes closer to your own views, even if neither is exactly right?. These are the options: [""Ordinary citizens can do a lot to influence (survey country)'s government if they are willing to make the effort"", 'Russia should intervene when there are threats to ethnic Russians in neighboring countries', 'Many of the problems facing our country can be solved by working with other countries', ""There's not much ordinary citizens can do to influence (survey country)'s government"", 'Russia should not intervene in the internal affairs of neighboring countries', 'Few of the problems facing our country can be solved by working with other countries', 'Both (VOL)', 'DK/Refused', 'Both (DO NOT READ)', 'Neither (VOL)', 'Neither (DO NOT READ)']","Ordinary citizens can do a lot to influence (survey country)'s government if they are willing to make the effort","Ordinary citizens can do a lot to influence (survey country)'s government if they are willing to make the effort"
"Here is a list of things that may be problems in our country. As I read each one, please tell me if you think it is a very big problem, a moderately big problem, a small problem, or not a problem at all...corrupt political leaders.. These are the options: ['Very big problem', 'Moderately big problem', 'Small problem', 'Not a problem at all', 'DK/Refused']","Moderately big problem","Very big problem"
"In your opinion, are India's police too tough, not tough enough, or about right when it comes to investigating cases of rape?. These are the options: ['Too tough', 'Not tough enough', 'About right']","Not tough enough","Not tough enough"
"I'm going to read a list of some changes that have taken place. Please tell me if you think each one has been a change for the better, a change for the worse, or hasn't it made much of a difference: the Internet.. These are the options: ['Change for the better', 'Change for the worse', 'Not much difference']","Change for the better","Change for the better"
"Overall, do you think that…Germany...has apologized sufficiently for its actions during World War II, that…Germany...has not apologized sufficiently or do you think no apology is necessary?. These are the options: ['Yes, has apologized sufficiently', 'No, has not apologized sufficiently', 'No apology necessary']","Yes, has apologized sufficiently","Yes, has apologized sufficiently"
"And which comes closer to describing your view? The United States promotes democracy wherever it can, OR the United States promotes democracy mostly where it serves its interests?. These are the options: ['The United States promotes democracy wherever it can', 'The United States promotes democracy mostly where it serves its interests']","The United States promotes democracy mostly where it serves its interests","The United States promotes democracy wherever it can"
"In your opinion, how likely is it that the May 25th elections in Ukraine will be fair? . These are the options: ['Very likely', 'Somewhat likely', 'Not too likely', 'Not at all likely']","Somewhat likely","Somewhat likely"
"Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable, or very unfavorable opinion of India?. These are the options: ['Very favorable', 'Somewhat favorable', 'Somewhat unfavorable', 'Very unfavorable', 'DK/Refused']","Somewhat favorable","Somewhat favorable"
"Which side do you identify with more in this struggle, moderate Muslims or Islamic fundamentalists?. These are the options: ['Moderate Muslims', 'Islamic fundamentalists']","Moderate Muslims","Moderate Muslims"
"Do you think the government of ____ respects the personal freedoms of its people or don’t you think so? c. France. These are the options: ['Yes, respects personal freedoms', 'No, does not respect personal freedoms', 'DK/Refused']","Yes, respects personal freedoms","Yes, respects personal freedoms"
"As I read some specific US policies tell me if you approve or disapprove of them...US policies in the Middle East. These are the options: ['Approve', 'Disapprove']","Disapprove","Approve"
"In your opinion, how much, if at all, does what happens in the American economy affect economic conditions in the rest of the world--a great deal, fair amount, not too much, or not at all?. These are the options: ['Great deal', 'Fair amount', 'Not too much', 'Not at all']","Great deal","Great deal"
"How important is it to have the following things in our country? Is it very important, somewhat important, not too important or not important at all? f. people can use the internet without <state or government> censorship. These are the options: ['Very important', 'Somewhat important', 'Not too important', 'Not important at all', 'DK/Refused']","Very important","Very important"
"Now I'm going to read a list of political leaders.  For each, tell me how much confidence you have in each leader to do the right thing regarding world affairs - a lot of confidence, some confidence, not too much confidence, or no confidence at all?...Brazilian President Luiz Inacio Lula da Silva.. These are the options: ['A lot of confidence', 'Some confidence', 'Not too much confidence', 'No confidence at all']","Some confidence","Some confidence"
"Please tell me if you approve or disapprove of the way President Barack Obama is dealing with...the situation in Afghanistan.. These are the options: ['Approve', 'Disapprove']","Approve","Approve"
"Which country do you think will win the 2010 World Cup?. These are the options: ['Argentina', 'Australia', 'Brazil', 'England', 'France', 'Germany', 'Italy', 'Spain', 'Other (VOL)']","England","Brazil"
"Now I'm going to read a list of political leaders.  For each, tell me how much confidence you have in each leader to do the right thing regarding world affairs - a lot of confidence, some confidence, not too much confidence, or no confidence at all?...Russian President Vladimir Putin. These are the options: ['A lot of confidence', 'Some confidence', 'Not too much confidence', 'No confidence at all', 'DK/Refused']","Not too much confidence","Not too much confidence"
"How concerned are you, if at all, that territorial disputes between China and neighboring countries could lead to a military conflict? Are you very concerned, somewhat concerned, not too concerned, or not at all concerned? . These are the options: ['Very concerned', 'Somewhat concerned', 'Not too concerned', 'Not at all concerned', 'DK/Refused']","Somewhat concerned","Very concerned"
"Now I'm going to read a list of political leaders.  For each, tell me how much confidence you have in each leader to do the right thing regarding world affairs - a lot of confidence, some confidence, not too much confidence, or no confidence at all?...Israeli Prime Minister Ehud Olmert. These are the options: ['A lot of confidence', 'Some confidence', 'Not too much confidence', 'No confidence at all']","Not too much confidence","Some confidence"
"Do you think ____ is a very big problem, a moderately big problem, a small problem or not a problem at all in our country? c. the gap between the rich and the poor.","Very big problem","Very big problem"
"Do you approve or disapprove of the way President Vladimir Putin is handling each of the following areas?...relations with the United States.","Disapprove","Disapprove"
"Do you think Egypt should maintain its peace treaty with Israel or do you think Egypt should annul its peace treaty with Israel?","Maintain treaty","Maintain treaty"
"When there are differences between our country and the United States, do you think these differences occur because we have different values than the United States or because we have different policies than the United States?","Different Policies","Different Policies"
"Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of ____. b. Indian National Congess (INC).","DK/Refused","DK/Refused"
"Would you say that each of the following has done a very good, somewhat good, somewhat bad, or very bad job dealing with the coronavirus outbreak? c. your country.","Somewhat bad","Somewhat bad"
"I'm going to describe various types of political systems and ask what you think about each as a way of governing our country. For each one, would it be a very good, somewhat good, somewhat bad or very bad way of governing this country? a. a democratic system where citizens, not elected officials, vote directly on major national issues to decide what becomes law.","Somewhat good","Somewhat good"
"And now thinking about the future, overall, today are you optimistic or pessimistic about the future of the country?","Pessimistic","Optimistic"
"Here is a list of things that may be problems in our country. As I read each one, please tell me if you think it is a very big problem, a moderately big problem, a small problem, or not a problem at all...conflict between religious groups.","Small problem","Small problem"
"Thinking about some countries around the world...Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of Germany.","Somewhat favorable","Somewhat favorable"
"Which one of these do you trust the second most to offer you guidance as a Muslim...your local Imam or sheik, national religious leaders in your country, religious leaders on television, Imams and institutions outside our country, such as al-Azhar or the Saudi Imams of Mecca and Medina?","Your local Imam or sheik","Your local Imam or sheik"
"Why do you have an unfavorable view of the United States?  Is it mostly because of President George W. Bush or is it more a general problem with America?","America in general","America in general"
"I am going to read you a list of things people do on cell phones, other than making calls. For each, please tell me if this is something you do regularly or not?...Send text messages.","Yes","Yes"
"Overall, do you think women will have more rights, fewer rights, or about the same rights under the Freedom and Justice Party-led government as they had in the past?","About the same","About the same"
"ASK FORM 1 ONLY: Thinking about long-range foreign policy goals, how much priority, if any, do you think each of the following should be given? a. Preventing the spread of weapons of mass destruction.","Top priority","Top priority"
"Is there any area within a kilometer/mile of your home where you would be afraid to walk alone at night?","No","Yes"
"Do you approve or disapprove of the way President Rodrigo Duterte is handling each of the following areas? d. corruption.","Disapprove","Disapprove"
"Please tell me whether you think the following statements apply to the United Nations or not. The United Nations… d. Deals effectively with international problems.","No","No"
"For each item on this list, tell me if you think it is happening a lot more, somewhat more, only a little more or not more these days than five years ago: influence of international investors, banks and financial organizations on our country's economic policies.","Somewhat more","Somewhat more"
"How do you think people in other countries of the world feel about your country?  Is your country generally liked or disliked?","Generally liked","Generally liked"
"Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of...Enrique Pena Nieto?","DK/Refused","DK/Refused"
"Thinking about conditions in our country today, for each of the following please tell me whether it is getting better, worse, or staying about the same, compared with the past?...Law and order","Worse","Worse"
"From what you have read or heard, how much of an effort is the United States making in attempting to stop the violence in Darfur?","Minor effort","Minor effort"
"Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of ____. c. The UK Independence Party (UKIP)","Somewhat unfavorable","DK/Refused"
"How much, if anything, have you heard about relations between China and Taiwan?","A little","A little"
"Now I'm going to read a list of political leaders.  For each, tell me how much confidence you have in each leader to do the right thing regarding world affairs - a lot of confidence, some confidence, not too much confidence, or no confidence at all?...U.S. President Barack Obama","Some confidence","A lot of confidence"
"Which of these characteristics do you associate with (the Chinese, the Japanese)?...Honest...Do you associate this with (the Chinese, the Japanese) or not?","Yes","Yes"
"What kind of influence is…the current government in Simferopol...having on the way things are going in Crimea?","Somewhat bad","Somewhat bad"
"Which one of the following worries you most about Islamic identity in our country today?","It can lead to violence","It can lead to a loss of personal freedoms"
"And do you ever use social networking sites like Facebook, Twitter (INSERT ) to share your views about...products you use or not?","Yes","Yes"
"Which one of the following countries would you trust most to do the right thing in dealing with the problem of global warming?","Germany","United States"
"How much do you personally worry about global warming - a great deal, a fair amount, only a little, or not at all?","Fair amount","Fair amount"
"Now I am going to read you a list of things that may be problems in our country.  As I read each one, please tell me if you think it is a very big problem, a moderately big problem, a small problem or not a problem at all...Electricity shortages","Small problem","Not a problem at all"
"What kind of marriage do you think is the more satisfying way of life...where the husband provides for the family and the wife takes care of the house and children, or where both have jobs and both take care of the house and children?","Both have jobs - care of house and children","Both have jobs - care of house and children"
"Which one of these issues is the most important for the government to address first — rising prices, a lack of employment opportunities, the gap between the rich and the poor or public debt?","Gap between the rich and the poor","Lack of employment opportunities"
"Which of the following phrases comes closer to your view?  It's good that American ideas and customs are spreading here, OR it's bad that American ideas and customs are spreading here","It's bad that American ideas and customs are spreading here","It's good that American ideas and customs are spreading here"
"Why do you think the US is conducting the war on terrorism? Is...To control Mideast oil...an important reason why the US is doing this or not?","Yes","No"
"Generally speaking, do you think ____ plays a more important role in the Middle East today compared with 10 years ago, g. Israel","As important as 10 years ago","More important role"
"How much of a role do you think Islam plays in the political life of our country - a very large role, a fairly large role, a fairly small role, or a very small role? In your opinion - is this good or bad for our country?. These are the options: ['Good', 'Bad', 'Neither (VOL)']","A fairly small role, Neither (VOL)","A fairly small role, Neither (VOL)"
"In your opinion, do lower income have too much influence in our political system, not enough influence, or about the right amount?. These are the options: ['Too much', 'Not enough', 'Right amount']","Not enough","Not enough"
"If Iran were to develop nuclear weapons, do you think they would be likely to...provide nuclear weapons to terrorist organizations, or not?. These are the options: ['Yes, likely', 'No, not likely']","Yes, likely","Yes, likely"
"Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable, or very unfavorable opinion of...APEC, that is, Asian-Pacific Economic Cooperation. These are the options: ['Very favorable', 'Somewhat favorable', 'Somewhat unfavorable', 'Very unfavorable']","Somewhat favorable","Somewhat favorable"
"Some people talk about politics in terms of left (Communist) and right (Capitalist).  On the ten-point scale on this card, with 1 indicating extreme left and 10 indicating extreme right, where would you place yourself?. These are the options: ['Extreme left (Communist)', 'Extreme right (Capitalist)']","Extreme right (Capitalist)","Extreme right (Capitalist)"
"How much of a danger is the current government in...Iran to stability in the Middle East and world peace? A great danger, moderate danger, small danger, or no danger at all?. These are the options: ['A great danger', 'Moderate danger', 'Small danger', 'No danger at all']","Moderate danger","A great danger"
"How important is it to you to live in a country where there is economic prosperity?  Is it very important, somewhat important, not too important or not important at all?. These are the options: ['Very important', 'Somewhat important', 'Not too important', 'Not important at all']","Very important","Very important"
"Think of the changes that have taken place in your country since 1989 /  1991. Have those changes had a very good influence, a good influence, a bad influence or a very bad influence on the following? f. Health care. These are the options: ['Very good influence', 'Good influence', 'Bad influence', 'Very bad influence', 'No influence (DO NOT READ)', 'DK/Refused']","Bad influence","Very bad influence"
"If China were to use military force against Taiwan, should the United States use military force to defend Taiwan, or not? . These are the options: ['Should use force', 'Should not use force']","Should not use force","Should use force"
"As I read some proposed policies of U.S. President Joe Biden, please tell me if you approve or disapprove of each one. d. The U.S. allowing more refugees into the United States. These are the options: ['Approve', 'Disapprove', 'DK/Refused']","Approve","Disapprove"
"Overall, how much influence do you think Turkey is having on the way things are going in your country? Would you say it is having a great deal of influence, a fair amount, not too much, or no influence at all?. These are the options: ['Great deal', 'Fair amount', 'Not too much', 'No influence at all']","Not too much","No influence at all"
"Since becoming president in 2013, do you think that Nicolas Maduro has followed the policies of former President Hugo Chavez very closely, somewhat closely, not too closely or not at all?. These are the options: ['Very closely', 'Somewhat closely', 'Not too closely', 'Not at all', 'DK/Refused']","Somewhat closely","Very closely"
"Overall, are you satisfied or dissatisfied with the way things are going in our country today?. These are the options: ['Satisfied', 'Dissatisfied', 'DK/Refused']","Dissatisfied","Dissatisfied"
"Do you strongly approve, approve, disapprove or strongly disapprove of the way Vladimir Putin is handling his job as Prime Minister?. These are the options: ['Strongly approve', 'Approve', 'Disapprove', 'Strongly disapprove']","Disapprove","Strongly disapprove"
"Which statement comes closest to your view, even if none are exactly right? Democracy in the United States.... These are the options: ['Is a good example for other countries to follow', 'Used to be a good example, but has not been in recent years', 'Has never been a good example for other countries to follow', 'DK/Refused']","Used to be a good example, but has not been in recent years","Is a good example for other countries to follow"
"I'm going to name some major companies, brands, and people from Japan. Is your overall opinion of...Ichiro Suzuki...very favorable, mostly favorable, mostly unfavorable, or very unfavorable?. These are the options: ['Very favorable', 'Mostly favorable', 'Mostly unfavorable', 'Very unfavorable', 'Never heard of (VOL)', 'Can't rate (VOL)']","Mostly favorable","Very favorable"
"I’d like your opinion about some possible international concerns. Do you think that ____ is a major threat, a minor threat or not a threat to your country? h. global economic instability. These are the options: ['Major threat', 'Minor threat', 'Not a threat', 'DK/Refused']","Major threat","Major threat"
"Overall, how much influence do you think Iran is having on the way things are going in your country? Would you say it is having a great deal of influence, a fair amount, not too much, or no influence at all? . These are the options: ['Great deal', 'Fair amount', 'Not too much', 'No influence at all']","Not too much","No influence at all"
