;source;category;question;answer_uk;answer_us;question type
415;GPT-4 generated;Entertainment & Arts;Do you follow any art blogs or channels?;No, not really interested.;Yes, it's great inspiration.;Multiple Choice
416;GPT-4 generated;Entertainment & Arts;Do you listen to opera?;No, it's not to my taste.;Occasionally, it's very dramatic.;Binary Choice
417;GPT-4 generated;Entertainment & Arts;Do you enjoy craft fairs?;Yes, it's nice to see handmade items.;Yes, I always find something unique.;Binary Choice
418;GPT-4 generated;Entertainment & Arts;Do you collect any art pieces?;A few, mostly from local artists.;Yes, as an investment and for enjoyment.;Binary Choice
419;GPT-4 generated;Entertainment & Arts;Have you ever been to an art auction?;No, it's a bit out of my league.;Once or twice, it's exciting.;Binary Choice
420;GPT-4 generated;Entertainment & Arts;Do you enjoy performance art?;Not particularly, I find it hard to follow.;Yes, it's thought-provoking.;Binary Choice
421;GPT-4 generated;Fashion & Style;Do you follow seasonal fashion trends?;Not really, I stick to what I like.;Yes, gotta keep up!;Binary Choice
422;GPT-4 generated;Fashion & Style;Do you own any designer clothes?;A few pieces, for special occasions.;Yes, love the quality and style.;Binary Choice
423;GPT-4 generated;Fashion & Style;Do you wear graphic tees?;Only if they're particularly clever.;Yes, it's a form of self-expression.;Binary Choice
424;GPT-4 generated;Fashion & Style;Do you prefer leather or synthetic materials?;Leather, for the quality.;Synthetic, it's more ethical.;Binary Choice
425;GPT-4 generated;Fashion & Style;Do you own any vintage clothing?;A few heirlooms, yes.;Yes, love the retro look.;Binary Choice
426;GPT-4 generated;Fashion & Style;Do you like wearing hats?;Only in dire need or for an event.;Yes, they're a cool accessory.;Binary Choice
427;GPT-4 generated;Fashion & Style;Do you use any custom-made clothing?;No, off-the-rack is fine for me.;Yes, for special occasions.;Binary Choice
428;GPT-4 generated;Fashion & Style;Do you like bright or muted colors?;Muted, they're more versatile.;Bright, they're more cheerful.;Binary Choice
429;GPT-4 generated;Fashion & Style;Do you have a signature scent?;Yes, it's part of my identity.;Yes, it's my go-to fragrance.;Binary Choice
430;GPT-4 generated;Fashion & Style;Do you wear high heels or flats?;Flats, they're more comfortable.;Heels, they make me feel confident.;Binary Choice
431;GPT-4 generated;Education & Knowledge;Do you enjoy mystery novels?;Yes, Agatha Christie is a classic.;Yeah, love a good whodunit!;Binary Choice
432;GPT-4 generated;Education & Knowledge;Do you like historical fiction?;Yes, they're fascinating.;Sometimes, if they're not too dry.;Binary Choice
433;GPT-4 generated;Education & Knowledge;Do you read newspapers?;Mostly online these days.;I skim through the headlines on my phone.;Binary Choice
434;GPT-4 generated;Education & Knowledge;Do you read magazines?;Not really, they're a bit outdated.;Sometimes, like when I'm at the dentist.;Binary Choice
435;GPT-4 generated;Education & Knowledge;Do you read science fiction?;Only the classics like H.G. Wells.;Yes, love the imaginative worlds!;Binary Choice
436;GPT-4 generated;Education & Knowledge;Do you read graphic novels?;No, not my cup of tea.;Yes, they're a quick read and entertaining.;Binary Choice
437;GPT-4 generated;Education & Knowledge;Do you like romantic novels?;Only if they're not too sappy.;Yeah, they're a guilty pleasure.;Binary Choice
438;GPT-4 generated;Education & Knowledge;Do you prefer anthologies?;Yes, you get a nice variety.;Not really, I like to dive deep into one story.;Binary Choice
439;GPT-4 generated;Education & Knowledge;Do you read books on philosophy?;Sometimes, it's good to challenge oneself.;Not unless it's for a class or something.;Binary Choice
440;GPT-4 generated;Education & Knowledge;Do you read short stories?;Yes, they're quite convenient.;If they're part of a collection, sure.;Binary Choice
441;GPT-4 generated;Society & Relationships;Do you greet people with a handshake?;Yes, it's the proper way.;Usually, unless it's a close friend or family.;Binary Choice
442;GPT-4 generated;Society & Relationships;Do you use honorific titles (Mr., Mrs., etc.)?;Yes, it's polite.;Only in formal situations.;Binary Choice
443;GPT-4 generated;Society & Relationships;Do you send thank-you notes?;Yes, it's good manners.;If it's a special occasion, yes.;Binary Choice
444;GPT-4 generated;Society & Relationships;Do you dress formally for work?;Generally, yes.;Depends on the workplace dress code.;Binary Choice
445;GPT-4 generated;Society & Relationships;Do you enjoy public speaking?;Not particularly, but I can manage.;Yes, I like engaging with an audience.;Likert Scale
446;GPT-4 generated;Society & Relationships;Do you consider yourself an introvert or extrovert?;Introvert, I enjoy my own company.;Extrovert, love being around people.;Likert Scale
447;GPT-4 generated;Society & Relationships;Do you enjoy clubbing or parties?;Not really, too noisy.;Yes, love to let loose!;Binary Choice
448;GPT-4 generated;Society & Relationships;Do you like potluck dinners?;They're okay, I suppose.;Yes, it's fun to try different dishes.;Binary Choice
449;GPT-4 generated;Society & Relationships;Do you use social media to share personal news?;No, I prefer to tell people directly.;Occasionally, it's convenient.;Binary Choice
450;GPT-4 generated;Society & Relationships;Do you share food when dining out with others?;Only if it's tapas or sharing plates.;Sure, more variety that way.;Binary Choice
451;GPT-4 generated;Holidays & Celebrations;Do you celebrate Halloween?;Not really, it's more for the kids.;Yes, love the costumes and candy!;Binary Choice
452;GPT-4 generated;Holidays & Celebrations;Do you enjoy themed parties?;Not particularly.;Yes, they're a blast!;Likert Scale
453;GPT-4 generated;Holidays & Celebrations;Do you cook special dishes for holidays?;Usually something traditional.;Yes, it's part of the celebration.;Binary Choice
454;GPT-4 generated;Holidays & Celebrations;Do you enjoy New Year's Eve celebrations?;I prefer a quiet night in.;Love the fireworks and parties!;Likert Scale
455;GPT-4 generated;Holidays & Celebrations;Do you give or receive flowers?;It's a lovely gesture.;Yes, both giving and receiving.;Binary Choice
456;GPT-4 generated;Holidays & Celebrations;Do you celebrate graduation ceremonies?;Yes, it's a significant milestone.;Absolutely, it's a big achievement!;Binary Choice
457;GPT-4 generated;Holidays & Celebrations;Do you make festive foods for celebrations?;Yes, it's part of the tradition.;Yes, homemade is best.;Binary Choice
458;GPT-4 generated;Holidays & Celebrations;Do you like Secret Santa gift exchanges?;It's a bit of fun, I suppose.;Love it, it's a holiday staple!;Likert Scale
459;GPT-4 generated;Holidays & Celebrations;Do you enjoy costume parties?;Not especially.;Yes, love getting creative with outfits!;Binary Choice
460;GPT-4 generated;Holidays & Celebrations;Do you have a special dish you make for holidays?;Yes, a family recipe.;Yes, everyone looks forward to it.;Binary Choice
461;GPT-4 generated;Family & Relationships;"Do you believe in love at first sight""?""";A bit skeptical, but anything's possible.;Sure, it's romantic to think so.;Binary Choice
462;GPT-4 generated;Family & Relationships;Do you set boundaries in your relationships?;Yes, it's quite important for a healthy relationship.;Absolutely, gotta have personal space.;Likert Scale
463;GPT-4 generated;Family & Relationships;Do you enjoy family trips?;They can be a lovely change of scenery.;Yes, love quality time with the fam!;Likert Scale
464;GPT-4 generated;Family & Relationships;Do you have family traditions?;Certainly, they keep the family bond strong.;Yes, it's all about making memories.;Binary Choice
465;GPT-4 generated;Family & Relationships;Do you have a close relationship with your grandparents?;Yes, we usually have Sunday roast together.;Absolutely, they're like second parents.;Likert Scale
466;GPT-4 generated;Family & Relationships;Do you have family movie nights?;Sometimes, yes.;Yes, it's a fun way to spend time together.;Binary Choice
467;GPT-4 generated;Family & Relationships;Do you celebrate friendship anniversaries?;Not typically, no.;No, but we celebrate birthdays big time!;Binary Choice
468;GPT-4 generated;Family & Relationships;Do you have a best friend?;Yes, been mates since school.;Yes, we go way back.;Binary Choice
469;GPT-4 generated;Family & Relationships;Do you set relationship goals?;Not explicitly, but we have mutual understanding.;Yes, it's good to have a roadmap.;Binary Choice
470;GPT-4 generated;Family & Relationships;Do you believe in soulmates?;It's a lovely concept, but not sure.;Yes, I do, it's magical.;Binary Choice
471;GPT-4 generated;Travel & Commute;Do you prefer city or rural vacations?;A bit of both, to be honest.;Love the city, always something to do!;Binary Choice
472;GPT-4 generated;Travel & Commute;Do you like cruises?;Not particularly, it feels rather confined.;Yes, all-inclusive and relaxing.;Binary Choice
473;GPT-4 generated;Travel & Commute;Do you prefer hostels, hotels, or Airbnb?;Hotels, preferably.;Airbnb, like having a home away from home.;Multiple Choice
474;GPT-4 generated;Travel & Commute;Do you use travel guides?;Sometimes, but I like to explore.;Yes, especially for a new place.;Binary Choice
475;GPT-4 generated;Travel & Commute;Do you enjoy long drives?;If it's through the countryside, yes.;Absolutely, love the open road!;Likert Scale
476;GPT-4 generated;Travel & Commute;Do you like adventure travel?;Yes, as long as it's not too extreme.;Love it, the more adrenaline the better!;Likert Scale
477;GPT-4 generated;Travel & Commute;Do you take staycations?;Yes, a good way to unwind locally.;Sometimes, it's easier and cheaper.;Binary Choice
478;GPT-4 generated;Travel & Commute;Do you like backpacking trips?;Yes, it's an adventure.;Not really, I prefer comfort.;Likert Scale
479;GPT-4 generated;Travel & Commute;Do you enjoy eco-tourism?;It's a responsible way to travel.;Yes, gotta take care of Mother Earth.;Likert Scale
480;GPT-4 generated;Travel & Commute;Do you prefer guided tours?;If it's a historical site, yes.;Not really, I like to explore on my own.;Binary Choice
481;GPT-4 generated;Education & Knowledge;Do you enjoy trivia games?;Quite enjoy a pub quiz, to be honest.;Love trivia nights, especially with friends.;Binary Choice
482;GPT-4 generated;Education & Knowledge;Do you participate in online forums for learning?;Not usually, I prefer structured courses.;Sometimes, it's a great way to expand my knowledge.;Binary Choice
483;GPT-4 generated;Education & Knowledge;Do you prefer lectures or interactive learning?;Interactive learning, keeps the mind engaged.;Definitely interactive, lectures can be a snooze.;Binary Choice
484;GPT-4 generated;Education & Knowledge;Do you like educational TV shows?;Yes, especially documentaries.;Absolutely, especially shows like 'Cosmos.';Binary Choice
485;GPT-4 generated;Education & Knowledge;Do you enjoy debates?;Quite stimulating, I must say.;Love a good debate, it's exhilarating.;Binary Choice
486;GPT-4 generated;Education & Knowledge;Do you find math interesting?;It has its moments.;Not really my thing, to be honest.;Likert Scale
487;GPT-4 generated;Education & Knowledge;Do you enjoy science experiments?;Intriguing, though I don't do them often.;Yeah, it's like magic but real.;Likert Scale
488;GPT-4 generated;Education & Knowledge;Do you participate in educational challenges?;Occasionally, especially if there's a prize.;Yes, love a good intellectual challenge.;Binary Choice
489;GPT-4 generated;Education & Knowledge;Do you like studying history?;Absolutely, it's fascinating.;History's cool, especially the wars and stuff.;Likert Scale
490;GPT-4 generated;Education & Knowledge;Do you find learning languages enjoyable?;Yes, but it's a challenging process.;Absolutely, it's like unlocking a new world.;Likert Scale
491;GPT-4 generated;Work & Career;Do you work remotely?;Occasionally, but I prefer the office.;Yes, all the time. Remote life is the best.;Binary Choice
492;GPT-4 generated;Work & Career;Do you prefer full-time or part-time work?;Full-time, need the stability.;Full-time, for the benefits and security.;Binary Choice
493;GPT-4 generated;Work & Career;Do you work on weekends?;Not if I can help it.;Sometimes, got to hustle.;Binary Choice
494;GPT-4 generated;Work & Career;Do you have a mentor?;Yes, mentorship is invaluable.;Absolutely, everyone needs guidance.;Binary Choice
495;GPT-4 generated;Work & Career;Do you have a professional wardrobe?;Certainly, appearances matter.;Of course, got to dress for success.;Binary Choice
496;GPT-4 generated;Work & Career;Do you work in a team or independently?;Both, depends on the project.;Mainly in a team, but I can solo too.;Binary Choice
497;GPT-4 generated;Work & Career;Do you prefer project-based or ongoing work?;Project-based, keeps things fresh.;Ongoing, I like stability.;Binary Choice
498;GPT-4 generated;Work & Career;Do you work in a corporate or startup environment?;Corporate, it's more structured.;Startup, love the fast pace.;Binary Choice
499;GPT-4 generated;Work & Career;Do you take work-related courses?;Yes, professional development is key.;Definitely, always leveling up.;Binary Choice
500;GPT-4 generated;Work & Career;"Do you believe in the concept of a ""dream job""?";It's a bit idealistic, isn't it?;Yes, you should love what you do.;Binary Choice
501;GPT-4 generated;Technology;Do you use voice assistants?;Not frequently, a bit wary of them.;Yes, use Siri all the time.;Binary Choice
502;GPT-4 generated;Technology;Do you prefer iOS or Android?;iOS, it's more user-friendly.;Android, love the customization.;Binary Choice
503;GPT-4 generated;Technology;Do you own any vintage tech?;Got an old Nokia somewhere.;Yes, still have my Gameboy.;Binary Choice
504;GPT-4 generated;Technology;Do you use antivirus software?;Absolutely, better safe than sorry.;Yes, always stay protected.;Binary Choice
505;GPT-4 generated;Technology;Do you use home security tech?;Yes, got a CCTV system.;Definitely, Ring doorbell and all.;Binary Choice
506;GPT-4 generated;Technology;Do you have a smart TV?;Yes, it's quite convenient.;Absolutely, it's essential these days.;Binary Choice
507;GPT-4 generated;Technology;Do you use parental controls on devices?;No, don't have kids.;Yes, gotta keep the little ones safe.;Binary Choice
508;GPT-4 generated;Technology;Do you own a drone?;No, not really my thing.;Yes, it's super fun.;Binary Choice
509;GPT-4 generated;Technology;Do you prefer laptops or desktops?;Laptop, it's more portable.;Desktop, more power for the price.;Binary Choice
510;GPT-4 generated;Technology;Do you own a gaming console?;Yes, got a PS5.;Absolutely, Xbox all the way.;Binary Choice
511;GPT-4 generated;Environment & Nature;Do you go birdwatching?;Not frequently, but it's a nice, quiet hobby.;Not really my thing.;Binary Choice
512;GPT-4 generated;Environment & Nature;Do you use solar power?;Not yet, but considering it.;I've got some solar panels, yeah.;Binary Choice
513;GPT-4 generated;Environment & Nature;Do you have a rainwater harvesting system?;No, but it's a good idea given the weather here.;Not really common where I live.;Binary Choice
514;GPT-4 generated;Environment & Nature;Do you participate in Earth Hour?;Yes, it's a small step toward sustainability.;Sure, I turn off the lights.;Binary Choice
515;GPT-4 generated;Environment & Nature;Do you use eco-friendly cleaning products?;Trying to switch over, yes.;Absolutely, gotta think of the planet.;Binary Choice
516;GPT-4 generated;Environment & Nature;Do you go for nature walks?;Absolutely, love a good stroll in the countryside.;Yep, it's great to get outdoors.;Binary Choice
517;GPT-4 generated;Environment & Nature;Do you own any pets?;Yes, got a British Shorthair cat.;Yes, got a couple of dogs.;Binary Choice
518;GPT-4 generated;Environment & Nature;Do you use biodegradable products?;Yes, doing my bit for the environment.;I try to, but it's tough sometimes.;Binary Choice
519;GPT-4 generated;Environment & Nature;Do you adopt or buy pets?;Adopt, it's the responsible choice.;Adopt, so many pets need homes.;Binary Choice
520;GPT-4 generated;Environment & Nature;Do you use an electric or hybrid vehicle?;No, but I'm considering a hybrid.;Got an electric, love it.;Binary Choice
521;GPT-4 generated;Education & Knowledge;Do you believe in term limits for politicians?;Yes, fresh perspectives are crucial.;Absolutely, stops them from getting too comfy.;Binary Choice
522;GPT-4 generated;Education & Knowledge;Do you read political think pieces?;Sometimes, it's good to stay informed.;Not really, too many hot takes.;Binary Choice
523;GPT-4 generated;Education & Knowledge;Do you follow any political podcasts?;Not my cup of tea, to be honest.;Yes, love hearing all the opinions.;Binary Choice
524;GPT-4 generated;Education & Knowledge;Do you believe in universal healthcare?;Absolutely, it's a basic human right.;I'm on the fence, it's complicated.;Binary Choice
525;GPT-4 generated;Education & Knowledge;Do you believe in gun control?;Absolutely, no need for civilians to have guns.;Yes, but the Second Amendment is important too.;Binary Choice
526;GPT-4 generated;Education & Knowledge;Do you volunteer for political campaigns?;No, but I do vote.;Sometimes, gotta support the cause.;Binary Choice
527;GPT-4 generated;Education & Knowledge;Do you consider yourself conservative, liberal, or centrist?;Centrist, I'd say.;Liberal, for the most part.;Multiple Choice
528;GPT-4 generated;Education & Knowledge;Do you follow local politics?;Somewhat, usually around election time.;Yes, local stuff matters.;Binary Choice
529;GPT-4 generated;Education & Knowledge;Do you discuss politics at family gatherings?;Avoid it like the plague, too divisive.;Sometimes, but it can get heated.;Binary Choice
530;GPT-4 generated;Education & Knowledge;Do you believe political systems should evolve?;Certainly, stagnation leads to problems.;Absolutely, change is essential.;Likert Scale
531;GPT-4 generated;Health & Wellness;Do you prefer home remedies?;Sometimes, but the NHS is my go-to.;I use both, but I trust my doctor first.;Binary Choice
532;GPT-4 generated;Health & Wellness;Do you use fitness trackers?;Yes, gotta get those 10,000 steps in.;Yes, it's a good way to stay accountable.;Binary Choice
533;GPT-4 generated;Health & Wellness;Do you participate in health challenges?;Not regularly, no.;Sometimes, they're fun!;Binary Choice
534;GPT-4 generated;Health & Wellness;Do you follow any dietary restrictions for health reasons?;Just a balanced diet, nothing strict.;I'm on a gluten-free diet.;Binary Choice
535;GPT-4 generated;Health & Wellness;Do you go for regular eye check-ups?;I do, once a year.;Yes, gotta keep those eyes healthy.;Binary Choice
536;GPT-4 generated;Health & Wellness;Do you use essential oils?;A bit skeptical, but they smell nice.;I love them, use them all the time.;Binary Choice
537;GPT-4 generated;Health & Wellness;Do you go to sleep at a consistent time?;Try to, but life often gets in the way.;Yes, I value my sleep.;Binary Choice
538;GPT-4 generated;Health & Wellness;Do you get a flu shot annually?;Yes, better safe than sorry.;Of course, it's a must.;Binary Choice
539;GPT-4 generated;Health & Wellness;Do you use dietary supplements?;Only vitamin D in the winter.;I take a daily multivitamin.;Binary Choice
540;GPT-4 generated;Health & Wellness;Do you follow a skin-care routine?;Basic one, yes.;Absolutely, self-care is important.;Binary Choice
541;GPT-4 generated;Spirituality & Religion;Do you consider yourself spiritual but not religious?;Not particularly, no.;Yes, spirituality is personal to me.;Binary Choice
542;GPT-4 generated;Spirituality & Religion;Do you read daily devotionals?;No, that's not my thing.;Occasionally, it's uplifting.;Binary Choice
543;GPT-4 generated;Spirituality & Religion;Do you believe in reincarnation?;No, not a part of my belief system.;I'm open to the idea.;Binary Choice
544;GPT-4 generated;Spirituality & Religion;Do you have a spiritual journal?;No, not really.;Yes, it helps me reflect.;Binary Choice
545;GPT-4 generated;Spirituality & Religion;Do you attend spiritual workshops?;No, I don't.;Once in a while, it's enlightening.;Binary Choice
546;GPT-4 generated;Spirituality & Religion;Do you visit holy sites?;Only if it's a historical place.;Yes, it's a great way to connect.;Binary Choice
547;GPT-4 generated;Spirituality & Religion;Do you use spiritual apps?;No, don't really see the point.;Yes, they help me stay grounded.;Binary Choice
548;GPT-4 generated;Spirituality & Religion;Do you participate in charity as a religious duty?;Charity, yes, but not as a religious duty.;Yes, it's a part of my faith.;Binary Choice
549;GPT-4 generated;Spirituality & Religion;Do you believe in the power of crystals?;"Not really, seems a bit ""New Age"" to me.";I have a few, they're interesting.;Binary Choice
550;GPT-4 generated;Spirituality & Religion;Do you follow the teachings of multiple religions?;No, that would be confusing.;I take what resonates with me from various beliefs.;Binary Choice
551;GPT-4 generated;Housing & Lifestyle;Do you prefer carpet or hardwood floors?;Hardwood, easier to clean.;Hardwood floors all the way.;Binary Choice
552;GPT-4 generated;Housing & Lifestyle;Do you have a dedicated gaming room?;No, not much of a gamer.;I wish! That would be awesome.;Binary Choice
553;GPT-4 generated;Housing & Lifestyle;Do you use smart home devices?;A few, like a smart thermostat.;Yes, love my smart home setup.;Binary Choice
554;GPT-4 generated;Housing & Lifestyle;Do you own a second home?;No, one's plenty.;I have a vacation home.;Binary Choice
555;GPT-4 generated;Housing & Lifestyle;Do you use interior designers?;Not really, I do my own decorating.;Yes, for a professional touch.;Binary Choice
556;GPT-4 generated;Housing & Lifestyle;Do you have a home automation system?;I've dabbled in it, yes.;Fully automated, it's the future!;Binary Choice
557;GPT-4 generated;Housing & Lifestyle;Do you own a swimming pool?;No, not necessary in the UK.;Yes, great for the summer.;Binary Choice
558;GPT-4 generated;Housing & Lifestyle;Do you use a hot tub or sauna?;Occasionally at the spa.;I have a hot tub in my backyard.;Binary Choice
559;GPT-4 generated;Housing & Lifestyle;Do you have a home gym?;No, I have a gym membership.;Yes, I built one during the pandemic.;Binary Choice
560;GPT-4 generated;Housing & Lifestyle;Do you prefer a single-story or multi-story home?;Multi-story, saves space.;Single-story, easier to navigate.;Binary Choice
561;GPT-4 generated;Food & Drink;Do you enjoy farm-to-table dining?;Yes, the quality is noticeably better.;Absolutely, it's so fresh!;Binary Choice
562;GPT-4 generated;Food & Drink;Do you like molecular gastronomy?;Not particularly, a bit too fussy for me.;Tried it once, it's like science and food combined!;Binary Choice
563;GPT-4 generated;Food & Drink;Do you prefer glass or plastic bottles for beverages?;Glass, it's more sustainable.;Glass, better for the environment.;Binary Choice
564;GPT-4 generated;Food & Drink;Do you use meal kits?;No, I prefer to cook from scratch.;Yes, they're convenient.;Binary Choice
565;GPT-4 generated;Food & Drink;Do you prefer waffles or pancakes?;Pancakes, they're classic.;Waffles, love those pockets of goodness.;Binary Choice
566;GPT-4 generated;Food & Drink;Do you enjoy eating organs or offal?;No, not to my taste.;Not really, it's a bit much for me.;Binary Choice
567;GPT-4 generated;Food & Drink;Do you like sour flavors?;Yes, particularly in candies.;Sure, like sour candy and all.;Likert Scale
568;GPT-4 generated;Food & Drink;Do you enjoy barbecue?;It's alright, prefer a good roast.;Love it, it's a staple.;Binary Choice
569;GPT-4 generated;Food & Drink;Do you have a favorite type of bread?;Sourdough, can't beat it.;I love a good ciabatta.;Binary Choice
570;GPT-4 generated;Food & Drink;Do you eat local honey?;Yes, supports local beekeepers.;Absolutely, it's healthier too.;Binary Choice
571;GPT-4 generated;Society & Relationships;Do you play golf?;Occasionally, good for networking.;Yep, hit the links on weekends.;Binary Choice
572;GPT-4 generated;Society & Relationships;Do you enjoy bungee jumping?;Never tried, sounds terrifying.;It's on my bucket list.;Binary Choice
573;GPT-4 generated;Society & Relationships;Do you do indoor rock climbing?;Not my cup of tea.;I've done it a few times, it's fun!;Binary Choice
574;GPT-4 generated;Society & Relationships;Do you enjoy beach volleyball?;Only on holiday.;Love it, it's a beach day must.;Binary Choice
575;GPT-4 generated;Society & Relationships;Have you ever participated in a triathlon?;No, sounds exhausting.;Not yet, but maybe one day.;Binary Choice
576;GPT-4 generated;Society & Relationships;Do you like frisbee?;It's a fun park activity.;Yes, especially ultimate frisbee.;Binary Choice
577;GPT-4 generated;Entertainment & Arts;Do you read movie reviews?;Occasionally, yes, to decide if a film's worth the time.;Yeah, I like to know what I'm getting into.;Binary Choice
578;GPT-4 generated;Entertainment & Arts;Do you watch any foreign-language TV shows?;Yes, subtitles don't bother me.;Yeah, love me some anime and Spanish telenovelas.;Binary Choice
579;GPT-4 generated;Entertainment & Arts;Do you enjoy classic films?;Absolutely, they don't make them like that anymore.;Sure, the oldies have their charm.;Binary Choice
580;GPT-4 generated;Entertainment & Arts;Do you have a favorite news anchor?;Yes, always tune in for the BBC.;Love me some Anderson Cooper.;Multiple Choice
581;GPT-4 generated;Entertainment & Arts;Do you watch independent films?;Yes, I appreciate the depth in storytelling.;Sometimes, it's a nice break from the blockbusters.;Binary Choice
582;GPT-4 generated;Entertainment & Arts;Do you enjoy cooking shows?;Indeed, especially the Great British Bake Off.;Love 'em, especially Chopped.;Binary Choice
583;GPT-4 generated;Entertainment & Arts;Do you like stand-up comedy?;Oh, certainly, it's a good laugh.;Yes, can't get enough of it!;Binary Choice
584;GPT-4 generated;Entertainment & Arts;Do you watch soap operas?;Not really, a bit too melodramatic for me.;Nah, not my cup of tea.;Binary Choice
585;GPT-4 generated;Entertainment & Arts;Do you watch award shows?;Occasionally, it's a nice evening in.;Yeah, the Grammys and Oscars are must-watches.;Binary Choice
586;GPT-4 generated;Entertainment & Arts;Do you follow celebrity news?;Not particularly interested.;Sure, gotta keep up with the Kardashians!;Binary Choice
587;GPT-4 generated;Entertainment & Arts;Do you like sculptures?;Yes, especially historical pieces.;Absolutely, they're so expressive.;Binary Choice
588;GPT-4 generated;Entertainment & Arts;Do you enjoy musicals?;Yes, there's something quite charming about them.;Yeah, Broadway's the best!;Binary Choice
589;GPT-4 generated;Entertainment & Arts;Do you have a favorite art movement?;Impressionism has always caught my eye.;I'm into Pop Art, so vibrant and modern.;Multiple Choice
590;GPT-4 generated;Entertainment & Arts;Do you like listening to podcasts about art?;Not really, I prefer visiting galleries.;Yeah, I'm a regular listener.;Binary Choice
591;GPT-4 generated;Entertainment & Arts;Do you enjoy interpretive dance?;It's a bit abstract for me, to be honest.;It can be interesting, depends on the performance.;Binary Choice
592;GPT-4 generated;Entertainment & Arts;Do you like graffiti art?;It has its place, some of it is quite compelling.;Yeah, it really can beautify a space.;Binary Choice
593;GPT-4 generated;Entertainment & Arts;Do you like satire?;Oh yes, wit always appreciated.;Love it, especially political satire.;Likert Scale
594;GPT-4 generated;Entertainment & Arts;Do you enjoy choral music?;Yes, it's quite moving.;Not really my style.;Likert Scale
595;GPT-4 generated;Entertainment & Arts;Do you play any traditional instruments?;I've dabbled with the piano.;Guitar's my go-to.;Binary Choice
596;GPT-4 generated;Entertainment & Arts;Do you appreciate outsider art?;Certainly, it has an untouched authenticity.;Yeah, it's raw and real.;Likert Scale
597;GPT-4 generated;Fashion & Style;Do you like tie-dye clothing?;It's a bit loud for my taste.;Love it, it's so groovy.;Binary Choice
598;GPT-4 generated;Fashion & Style;Do you enjoy fashion documentaries?;Occasionally, it's interesting to see the creative process.;Yeah, they can be really inspiring.;Binary Choice
599;GPT-4 generated;Fashion & Style;Do you like wearing turtlenecks?;In winter, yes. Quite cosy.;Only when it's cold out.;Likert Scale
600;GPT-4 generated;Fashion & Style;Do you wear sustainable fashion?;When possible, it's good for the environment.;I try to, it's important.;Binary Choice
601;GPT-4 generated;Fashion & Style;Do you wear fur or faux fur?;Faux fur, if at all.;Faux fur all the way.;Binary Choice
602;GPT-4 generated;Fashion & Style;Do you have pierced ears?;Yes, just the one.;Yeah, got a couple.;Binary Choice
603;GPT-4 generated;Fashion & Style;Do you wear wristwatches?;Yes, it's a classic look.;Nah, I just use my phone.;Binary Choice
604;GPT-4 generated;Fashion & Style;Do you wear anklets?;Not my style.;Sometimes in the summer.;Binary Choice
605;GPT-4 generated;Fashion & Style;Do you like sequins?;Only for special occasions.;Love them, they're so fun.;Binary Choice
606;GPT-4 generated;Fashion & Style;Do you have a favorite fashion era?;The 60s were quite chic.;90s grunge for me.;Multiple Choice
607;GPT-4 generated;Education & Knowledge;Do you read biographies?;Yes, quite enlightening.;Sure, love a good life story.;Binary Choice
608;GPT-4 generated;Education & Knowledge;Do you enjoy chick lit?;Not my cup of tea.;Sometimes, it's a light read.;Binary Choice
609;GPT-4 generated;Education & Knowledge;Do you read fantasy novels?;I dabble in Tolkien.;Oh yeah, big fan of Harry Potter.;Binary Choice
610;GPT-4 generated;Education & Knowledge;Do you like satire?;Certainly, a fine form of critique.;Love it, especially in politics.;Likert Scale
611;GPT-4 generated;Education & Knowledge;Do you enjoy poetry?;Indeed, Wordsworth and the like.;Sometimes, depends on my mood.;Binary Choice
612;GPT-4 generated;Education & Knowledge;Do you read children's books as an adult?;For nostalgia, yes.;Absolutely, they're timeless.;Binary Choice
613;GPT-4 generated;Education & Knowledge;Do you like classic literature?;Certainly, the classics have stood the test of time.;Yeah, they're classics for a reason.;Binary Choice
614;GPT-4 generated;Education & Knowledge;Do you read celebrity memoirs?;Not particularly interested.;Sometimes, if they've had an interesting life.;Binary Choice
615;GPT-4 generated;Education & Knowledge;Do you enjoy dystopian novels?;Yes, 1984 is a masterpiece.;Totally, love The Hunger Games.;Binary Choice
616;GPT-4 generated;Education & Knowledge;Do you read self-help books?;I might leaf through one, if the topic suits me.;Yeah, I find them helpful.;Binary Choice
617;GPT-4 generated;Society & Relationships;Do you RSVP to events?;Of course, it's only polite.;Yeah, gotta let 'em know.;Binary Choice
618;GPT-4 generated;Society & Relationships;Do you consider yourself polite?;Certainly, manners make the man.;I try to be, yeah.;Likert Scale
619;GPT-4 generated;Society & Relationships;Do you keep your phone on silent during meetings?;Absolutely, it's common courtesy.;For sure, don't wanna be that guy.;Binary Choice
620;GPT-4 generated;Society & Relationships;Do you give up your seat for others in public transport?;Yes, especially for the elderly or pregnant.;Of course, it's the right thing to do.;Binary Choice
621;GPT-4 generated;Society & Relationships;Do you like small talk?;It serves a function, yes.;Yeah, it's a good ice breaker.;Likert Scale
622;GPT-4 generated;Society & Relationships;Do you keep your emotions private?;Generally, yes.;Mostly, unless I'm with close friends.;Binary Choice
623;GPT-4 generated;Society & Relationships;Do you gift homemade items?;Occasionally, it's more personal.;Sometimes, they mean more.;Binary Choice
624;GPT-4 generated;Society & Relationships;Do you tip service workers?;In restaurants, yes.;Always, it's how it works here.;Binary Choice
