;question;selections;options;source;value_us;value_uk;index_us;index_uk;answer_us;answer_uk;category;# of options;question type
424;Would you favor or oppose the US and its allies taking military action in Iraq to end Saddam Hussein's rule as part of the war on terrorism?;'United States': [0.7666666666666667, 0.23333333333333334], 'Britain': [0.5168539325842697, 0.48314606741573035];['Favor', 'Oppose'];GAS;0.7666666666666667;0.5168539325842697;0;0;Favor;Favor;D. Politics and policy;2;Binary Choice
425;In your opinion, in the public, are the conflicts very strong, strong, not very strong or are there not any conflicts between ____? b. People who live in cities and people who live in rural areas;'United States': [0.12, 0.3, 0.48, 0.09, 0.01], 'Britain': [0.05, 0.22, 0.48, 0.21, 0.04];['Very strong conflicts', 'Strong conflicts', 'Not very strong conflicts', 'There are not conflicts', 'DK/Refused'];GAS;0.48;0.48;2;2;Not very strong conflicts;Not very strong conflicts;A. Social values and attitudes;5;Likert Scale
426;For each statement, please tell me whether you completely agree with it, mostly agree with it, mostly disagree with it or completely disagree with it...There are parts of neighboring countries that really belong to us.;'United States': [0.10714285714285714, 0.27380952380952384, 0.34523809523809523, 0.27380952380952384], 'Britain': [0.06741573033707865, 0.25842696629213485, 0.34831460674157305, 0.3258426966292135];['Completely agree', 'Mostly agree', 'Mostly disagree', 'Completely disagree'];GAS;0.3452380952380952;0.348314606741573;2;2;Mostly disagree;Mostly disagree;D. Politics and policy;4;Likert Scale
427;Now I'm going to read a list of political leaders.  For each, tell me how much confidence you have in each leader to do the right thing regarding world affairs - a lot of confidence, some confidence, not too much confidence, or no confidence at all?...French President Nicolas Sarkozy;'United States': [0.07792207792207792, 0.5064935064935064, 0.24675324675324675, 0.16883116883116883], 'Britain': [0.07954545454545454, 0.42045454545454547, 0.3068181818181818, 0.19318181818181818];['A lot of confidence', 'Some confidence', 'Not too much confidence', 'No confidence at all'];GAS;0.5064935064935064;0.4204545454545454;1;1;Some confidence;Some confidence;D. Politics and policy;4;Likert Scale
428;Regardless of how you feel about the riots, were you sympathetic to the youths from immigrant and working class suburbs in France who felt frustrated by their place in French society, or not?;'United States': [0.5217391304347826, 0.4782608695652174], 'Britain': [0.7045454545454546, 0.29545454545454547];['Yes, sympathetic', 'No, not sympathetic'];GAS;0.5217391304347826;0.7045454545454546;0;0;Yes, sympathetic;Yes, sympathetic;A. Social values and attitudes;2;Binary Choice
429;Now I'm going to read a list of political leaders.  For each, tell me how much confidence you have in each leader to do the right thing regarding world affairs - a lot of confidence, some confidence, not too much confidence, or no confidence at all?...German Chancellor Angela Merkel.;'United States': [0.15841584158415842, 0.39603960396039606, 0.1485148514851485, 0.15841584158415842, 0.13861386138613863], 'Britain': [0.2079207920792079, 0.37623762376237624, 0.12871287128712872, 0.1782178217821782, 0.10891089108910891];['A lot of confidence', 'Some confidence', 'Not too much confidence', 'No confidence at all', 'DK/Refused'];GAS;0.396039603960396;0.3762376237623762;1;1;Some confidence;Some confidence;D. Politics and policy;5;Likert Scale
430;And turning to the situation in the world overall, would you say that you are satisfied or dissatisfied with the way things are going in the world right now?;'United States': [0.17708333333333334, 0.8229166666666666], 'Britain': [0.23157894736842105, 0.7684210526315789];['Satisfied', 'Dissatisfied'];GAS;0.8229166666666666;0.7684210526315789;1;1;Dissatisfied;Dissatisfied;G. International affairs;2;Likert Scale
431;Has each of the following gotten better or worse over the last five years in our country: the affordability of health care.;'United States': [0.18556701030927836, 0.7731958762886598, 0.041237113402061855], 'Britain': [0.32978723404255317, 0.5957446808510638, 0.07446808510638298];['Better', 'Worse', 'Has not changed'];GAS;0.7731958762886598;0.5957446808510638;1;1;Worse;Worse;N. Economy and work;3;Likert Scale
432;As I read some specific policies of [American] President George W. Bush tell me if you approve or disapprove of them...Bush's decision that the U.S. should not support the Kyoto protocol to reduce greenhouse gas emissions;'United States': [0.3972602739726027, 0.6027397260273972], 'Britain': [0.10752688172043011, 0.8924731182795699];['Approve', 'Disapprove'];GAS;0.6027397260273972;0.8924731182795699;1;1;Disapprove;Disapprove;D. Politics and policy;2;Binary Choice
433;For each of the following, please tell me how news organizations in your country are doing on the issue. Would you say news organizations are doing this very well, somewhat well, not too well, or not well at all? a. reporting news accurately;'United States': [0.16, 0.4, 0.21, 0.22, 0.0, 0.01], 'Britain': [0.13, 0.5, 0.22, 0.11, 0.0, 0.04];['Very well', 'Somewhat well', 'Not too well', 'Not well at all', 'News organizations should not do this (VOL)', 'DK/Refused'];GAS;0.4;0.5;1;1;Somewhat well;Somewhat well;J. News habits and media;6;Likert Scale
434;I am going to read you a list of things that might be important for getting ahead in life. On a scale of 0 to 10, in your opinion, how important is it...to belong to a wealthy family to get ahead in life, where 0 means not important at all and 10 means very important?;'United States': [0.11, 0.02, 0.18, 0.04, 0.05, 0.04, 0.15, 0.08, 0.12, 0.15, 0.06], 'Britain': [0.09183673469387756, 0.01020408163265306, 0.16326530612244897, 0.030612244897959183, 0.04081632653061224, 0.061224489795918366, 0.15306122448979592, 0.10204081632653061, 0.12244897959183673, 0.16326530612244897, 0.061224489795918366];['Not important at all', 1.0, 'Very important', 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0];GAS;0.18;0.1632653061224489;2;2;Very important;Very important;N. Economy and work;11;Numerical Scale
435;Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of...Pakistan?;'United States': [0.03409090909090909, 0.17045454545454544, 0.4318181818181818, 0.36363636363636365, 0.0], 'Britain': [0.1, 0.6, 0.225, 0.075, 0.0];['Very favorable', 'Somewhat favorable', 'Somewhat unfavorable', 'Very unfavorable', 'DK/Refused'];GAS;0.4318181818181818;0.6;2;1;Somewhat unfavorable;Somewhat favorable;G. International affairs;5;Likert Scale
436;Do you think the partnership between the U.S. and Western Europe should remain as close as it has been or do you think that Western Europe should take a more independent approach to security and diplomatic affairs than it has in the past?;'United States': [0.7021276595744681, 0.2978723404255319], 'Britain': [0.4421052631578947, 0.5578947368421052];['Remain as close', 'More independent'];GAS;0.7021276595744681;0.5578947368421052;0;1;Remain as close;More independent;G. International affairs;2;Likert Scale
437;In terms of solving world problems, does the United States do too much, too little, or the right amount in helping solve world problems?;'United States': [0.49473684210526314, 0.17894736842105263, 0.3263157894736842, 0.0], 'Britain': [0.25274725274725274, 0.3956043956043956, 0.34065934065934067, 0.01098901098901099];['United States does too much', 'United States does too little', 'United States does right amount', 'United States does nothing (VOL)'];GAS;0.4947368421052631;0.3956043956043956;0;1;United States does too much;United States does too little;D. Politics and policy;4;Likert Scale
438;"I’d like your opinion about some possible international concerns. Do you think that ____ is a major threat, a minor threat or not a threat to your country? 
d. global climate change";'United States': [0.41237113402061853, 0.38144329896907214, 0.20618556701030927, 0.0], 'Britain': [0.58, 0.28, 0.11, 0.03];['Major threat', 'Minor threat', 'Not a threat', 'DK/Refused'];GAS;0.4123711340206185;0.58;0;0;Major threat;Major threat;G. International affairs;4;Likert Scale
439;Please tell me whether you think the following statements apply to the United Nations or not. The United Nations… h. Promotes action on infectious diseases, like coronavirus;'United States': [0.55, 0.38, 0.07], 'Britain': [0.61, 0.36, 0.03];['Yes', 'No', 'DK/Refused'];GAS;0.55;0.61;0;0;Yes;Yes;Q. Security;3;Multiple Choice
440;Do you think discrimination against people based on their race or ethnicity is a very serious problem, somewhat serious problem, not too serious problem or not a problem at all in ____? b. the public;'United States': [0.42, 0.32, 0.21, 0.04, 0.01], 'Britain': [0.31, 0.4, 0.23, 0.05, 0.01];['Very serious problem', 'Somewhat serious problem', 'Not too serious problem', 'Not a problem at all', 'DK/Refused'];GAS;0.42;0.4;0;1;Very serious problem;Somewhat serious problem;M. Race and ethnicity;5;Likert Scale
441;For each, tell me how much confidence you have in each leader to do the right thing regarding world affairs – a lot of confidence, some confidence, not too much confidence, or no confidence at all. a. U.S. President Joe Biden;'United States': [0.31, 0.29, 0.16, 0.23, 0.01], 'Britain': [0.21, 0.51, 0.15, 0.1, 0.03];['A lot of confidence', 'Some confidence', 'Not too much confidence', 'No confidence at all', 'DK/Refused'];GAS;0.31;0.51;0;1;A lot of confidence;Some confidence;D. Politics and policy;5;Likert Scale
442;Would you say that each of the following has done a very good, somewhat good, somewhat bad, or very bad job dealing with the coronavirus outbreak? d. The European Union;'United States': [0.06930693069306931, 0.5346534653465347, 0.2871287128712871, 0.06930693069306931, 0.039603960396039604], 'Britain': [0.05, 0.37, 0.34, 0.19, 0.05];['Very good', 'Somewhat good', 'Somewhat bad', 'Very bad', 'DK/Refused'];GAS;0.5346534653465347;0.37;1;1;Somewhat good;Somewhat good;D. Politics and policy;5;Likert Scale
443;And in your household, do you have any of the following? Count only those that are in working order….motorcycle or scooter ;'United States': [0.14, 0.86], 'Britain': [0.0707070707070707, 0.9292929292929293];['Yes', 'No'];GAS;0.86;0.9292929292929292;1;1;No;No;N. Economy and work;2;Binary Choice
444;How likely or unlikely do you think it is that, in the future, a cyberattack will result in the following situation? b. Elections in your country will be tampered with;'United States': [0.44554455445544555, 0.2871287128712871, 0.1188118811881188, 0.0891089108910891, 0.039603960396039604, 0.019801980198019802], 'Britain': [0.29292929292929293, 0.3939393939393939, 0.20202020202020202, 0.08080808080808081, 0.010101010101010102, 0.020202020202020204];['Very likely', 'Somewhat likely', 'Somewhat unlikely', 'Very unlikely', 'Has already happened (DO NOT READ)', 'DK/Refused'];GAS;0.4455445544554455;0.3939393939393939;0;1;Very likely;Somewhat likely;Q. Security;6;Likert Scale
445;Do you think US and British leaders knew Iraq had no weapons, or did they simply choose to believe only the intelligence that supported going to war?;'United States': [0.27835051546391754, 0.7216494845360825], 'Britain': [0.3229166666666667, 0.6770833333333334];['Knew Iraq had no weapons', 'Chose to believe only the intelligence that supported going'];GAS;0.7216494845360825;0.6770833333333334;1;1;Chose to believe only the intelligence that supported going;Chose to believe only the intelligence that supported going;D. Politics and policy;2;Binary Choice
446;Which of these two statements comes closer to your own views, even if neither is exactly right...your country has made most of the changes needed to give women equal rights with men or, your country needs to continue making changes to give women equal rights with men?;'United States': [0.0, 0.0, 0.0, 0.0, 0.54, 0.0, 0.0, 0.45, 0.0, 0.01, 0.0, 0.0, 0.0], 'Britain': [0.0, 0.0, 0.0, 0.3401015228426396, 0.0, 0.0, 0.15228426395939088, 0.0, 0.0, 0.005076142131979695, 0.0, 0.350253807106599, 0.15228426395939088];['(Survey country) has made most of the changes needed to give women equal rights with men, OR', '(Survey country) needs to continue making changes to give women equal rights with men.', '(Survey country) should deal with its own problems and let other countries deal with their own problems as best they can [OR]', 'If (survey country) had cooperated more with other countries, the number of coronavirus cases would have been lower in this country', 'Many of the problems facing our country can be solved by working with other countries', '(Survey country) should help other countries deal with their problems', 'No amount of cooperation between (survey country) and other countries would have reduced the number of coronavirus cases in this country', 'Few of the problems facing our country can be solved by working with other countries', 'Neither (VOL)', 'DK/Refused', 'Both (VOL)', 'When dealing with major international issues, our country should take into account the interests of other countries, even if it means making compromises with them', 'When dealing with major international issues, our country should follow its own interests, even when other countries strongly disagree'];GAS;0.54;0.350253807106599;4;11;Many of the problems facing our country can be solved by working with other countries;When dealing with major international issues, our country should take into account the interests of other countries, even if it means making compromises with them;I. Gender and LGBTQ;13;Likert Scale
447;Please tell me whether you favor or oppose Ukraine joining NATO in the next ten years.;'United States': [0.6764705882352942, 0.3235294117647059], 'Britain': [0.5945945945945946, 0.40540540540540543];['Support', 'Oppose'];GAS;0.6764705882352942;0.5945945945945946;0;0;Support;Support;G. International affairs;2;Binary Choice
448;Which of these characteristics do you associate with Americans? Do you associate immoral with Americans or not?;'United States': [0.41935483870967744, 0.5806451612903226], 'Britain': [0.2857142857142857, 0.7142857142857143];['Yes', 'No'];GAS;0.5806451612903226;0.7142857142857143;1;1;No;No;A. Social values and attitudes;2;Binary Choice
449;Did the US and its allies try very hard to avoid civilian casualties in Iraq or didn't they try hard enough?;'United States': [0.8541666666666666, 0.14583333333333334], 'Britain': [0.6666666666666666, 0.3333333333333333];"['Tried very hard', ""Didn't try hard enough""]";GAS;0.8541666666666666;0.6666666666666666;0;0;Tried very hard;Tried very hard;D. Politics and policy;2;Likert Scale
450;Which of these characteristics do you associate with Americans? Do you associate ____ with Americans or not? b. hardworking;'United States': [0.8, 0.19, 0.01], 'Britain': [0.75, 0.18, 0.07];['Yes', 'No', 'DK/Refused'];GAS;0.8;0.75;0;0;Yes;Yes;A. Social values and attitudes;3;Likert Scale
451;Does this statement describe your country very well, somewhat well, not too well, or not well at all? a. Elected officials care what ordinary people think;'United States': [0.08, 0.33, 0.29, 0.29, 0.01], 'Britain': [0.09, 0.33, 0.31, 0.24, 0.03];['Very well', 'Somewhat well', 'Not too well', 'Not well at all', 'DK/Refused'];GAS;0.33;0.33;1;1;Somewhat well;Somewhat well;D. Politics and policy;5;Likert Scale
452;As I read some specific US policies tell me if you approve or disapprove of them...President Bush calling Iraq, Iran and North Korea an Axis of Evil;'United States': [0.6222222222222222, 0.37777777777777777], 'Britain': [0.367816091954023, 0.632183908045977];['Approve', 'Disapprove'];GAS;0.6222222222222222;0.632183908045977;0;1;Approve;Disapprove;D. Politics and policy;2;Binary Choice
453;I am going to read you a list of things that might be important for getting ahead in life. On a scale of 0 to 10, in your opinion, how important is it...to give bribes to get ahead in life, where 0 means not important at all and 10 means very important?;'United States': [0.47959183673469385, 0.061224489795918366, 0.061224489795918366, 0.07142857142857142, 0.061224489795918366, 0.061224489795918366, 0.09183673469387756, 0.030612244897959183, 0.030612244897959183, 0.04081632653061224, 0.01020408163265306], 'Britain': [0.37755102040816324, 0.07142857142857142, 0.05102040816326531, 0.11224489795918367, 0.07142857142857142, 0.07142857142857142, 0.08163265306122448, 0.05102040816326531, 0.04081632653061224, 0.05102040816326531, 0.02040816326530612];['Not important at all', 1.0, 'Very important', 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0];GAS;0.4795918367346938;0.3775510204081632;0;0;Not important at all;Not important at all;D. Politics and policy;11;Numerical Scale
454;In a family, when it comes to making important decisions about ____, do you think …? c. Their family's religious practices;'United States': [0.14, 0.19, 0.64, 0.03], 'Britain': [0.23, 0.07, 0.65, 0.05];['Men generally have more influence', 'Women generally have more influence', 'Men and women generally have about the same influence', 'DK/Refused'];GAS;0.64;0.65;2;2;Men and women generally have about the same influence;Men and women generally have about the same influence;B. Religion and spirituality;4;Likert Scale
455;Which of these characteristics do you associate with Muslims?...Honest...Do you associate this with Muslims or not?;'United States': [0.5764705882352941, 0.4235294117647059], 'Britain': [0.7317073170731707, 0.2682926829268293];['Yes', 'No'];GAS;0.5764705882352941;0.7317073170731707;0;0;Yes;Yes;M. Race and ethnicity;2;Binary Choice
456;Thinking about the future of your country, please tell me whether you feel generally optimistic or generally pessimistic about the following areas. b. Reducing the gap between the rich and poor;'United States': [0.33, 0.61, 0.02, 0.04], 'Britain': [0.22, 0.76, 0.01, 0.01];['Optimistic', 'Pessimistic', 'Neither (DO NOT READ)', 'DK/Refused'];GAS;0.61;0.76;1;1;Pessimistic;Pessimistic;D. Politics and policy;4;Likert Scale
457;Do you personally believe that having an abortion is morally acceptable, morally unacceptable, or is it not a moral issue? ;'United States': [0.17346938775510204, 0.5, 0.23469387755102042, 0.09183673469387756], 'Britain': [0.28125, 0.2604166666666667, 0.2916666666666667, 0.16666666666666666];['Morally acceptable', 'Morally unacceptable', 'Not a moral issue', 'Depends on the situation (VOL)'];GAS;0.5;0.2916666666666667;1;2;Morally unacceptable;Not a moral issue;B. Religion and spirituality;4;Likert Scale
458;Do you think there is a natural conflict between being a devout Christian and living in a modern society, or don't you think so?;'United States': [0.31868131868131866, 0.6813186813186813], 'Britain': [0.2553191489361702, 0.7446808510638298];['Yes, there is conflict', 'No, there is not a conflict'];GAS;0.6813186813186813;0.7446808510638298;1;1;No, there is not a conflict;No, there is not a conflict;B. Religion and spirituality;2;Binary Choice
459;(Now I am going to read you a list of things that may be problems in our country. As I read each one, please tell me if you think it is a very big problem, a moderately big problem, a small problem or not a problem at all.)...Rising prices;'United States': [0.53, 0.34, 0.1, 0.03, 0.0], 'Britain': [0.46464646464646464, 0.37373737373737376, 0.13131313131313133, 0.030303030303030304, 0.0];['Very big problem', 'Moderately big problem', 'Small problem', 'Not a problem at all', 'DK/Refused'];GAS;0.53;0.4646464646464646;0;0;Very big problem;Very big problem;N. Economy and work;5;Likert Scale
460;"Which comes closer to describing your view?...China will eventually replace the U.S. as the world's leading superpower; China has already replaced the U.S. as the world's leading superpower; or China will never replace the U.S. as the world's leading superpower?";'United States': [0.3829787234042553, 0.10638297872340426, 0.5106382978723404], 'Britain': [0.5106382978723404, 0.11702127659574468, 0.3723404255319149];['Will eventually replace US', 'Has already replaced US', 'Will never replace US'];GAS;0.5106382978723404;0.5106382978723404;2;0;Will never replace US;Will eventually replace US;G. International affairs;3;Likert Scale
461;I'd like your opinion about some possible international concerns for your country. Do you think that ___ is a major threat, a minor threat, or not a threat to your country? g. Large numbers of people moving from one country to another;'United States': [0.35353535353535354, 0.3838383838383838, 0.25252525252525254, 0.010101010101010102], 'Britain': [0.39, 0.42, 0.19, 0.0];['Major threat', 'Minor threat', 'Not a threat', 'DK/Refused'];GAS;0.3838383838383838;0.42;1;1;Minor threat;Minor threat;G. International affairs;4;Likert Scale
462;Please tell me whether you think the following statements apply to the United Nations or not. The United Nations… a. Promotes peace;'United States': [0.72, 0.24, 0.04], 'Britain': [0.81, 0.18, 0.01];['Yes', 'No', 'DK/Refused'];GAS;0.72;0.81;0;0;Yes;Yes;G. International affairs;3;Likert Scale
463;Which statement comes closer to your own views - even if neither is exactly right…Most government officials care what people like me think or Most government officials do not care what people like me think?;'United States': [0.0, 0.0, 0.0, 0.0, 0.54, 0.0, 0.45, 0.01, 0.0, 0.0], 'Britain': [0.0, 0.0, 0.0, 0.3401015228426396, 0.0, 0.15228426395939088, 0.0, 0.005076142131979695, 0.350253807106599, 0.15228426395939088];['Government officials care', 'Government officials do not care', 'Neither/Both equally (VOL)', 'If (survey country) had cooperated more with other countries, the number of coronavirus cases would have been lower in this country', 'Many of the problems facing our country can be solved by working with other countries', 'No amount of cooperation between (survey country) and other countries would have reduced the number of coronavirus cases in this country', 'Few of the problems facing our country can be solved by working with other countries', 'DK/Refused', 'When dealing with major international issues, our country should take into account the interests of other countries, even if it means making compromises with them', 'When dealing with major international issues, our country should follow its own interests, even when other countries strongly disagree'];GAS;0.54;0.350253807106599;4;8;Many of the problems facing our country can be solved by working with other countries;When dealing with major international issues, our country should take into account the interests of other countries, even if it means making compromises with them;D. Politics and policy;10;Likert Scale
464;I'd like to ask your opinion about some international issues.  Please tell me how concerned you are, if at all, about each of them - are you very concerned, somewhat concerned, not too concerned or not at all concerned?...tensions between Russia and neighboring countries ;'United States': [0.44329896907216493, 0.3917525773195876, 0.10309278350515463, 0.061855670103092786], 'Britain': [0.422680412371134, 0.4020618556701031, 0.12371134020618557, 0.05154639175257732];['Very concerned', 'Somewhat concerned', 'Not too concerned', 'Not at all concerned'];GAS;0.4432989690721649;0.422680412371134;0;0;Very concerned;Very concerned;G. International affairs;4;Likert Scale
465;Here are a few questions about how the war in Iraq may have changed your opinion of the U.S. Did the U.S. military show itself to be stronger or weaker than you expected?;'United States': [0.7604166666666666, 0.14583333333333334, 0.09375], 'Britain': [0.5, 0.34782608695652173, 0.15217391304347827];['Stronger', 'Weaker', 'Same (VOL.)'];GAS;0.7604166666666666;0.5;0;0;Stronger;Stronger;G. International affairs;3;Likert Scale
466;As I read another list of statements, for each one, please tell me whether you completely agree, mostly agree, mostly disagree or completely disagree with it...Our way of life needs to be protected against foreign influence.;'United States': [0.34375, 0.375, 0.17708333333333334, 0.10416666666666667], 'Britain': [0.34375, 0.3020833333333333, 0.23958333333333334, 0.11458333333333333];['Completely agree', 'Mostly agree', 'Mostly disagree', 'Completely disagree'];GAS;375.0;0.34375;1;0;Mostly agree;Completely agree;D. Politics and policy;4;Likert Scale
467;Do you think the government of ____ respects the personal freedoms of its people or don’t you think so? b. the United States;'United States': [0.51, 0.46, 0.03], 'Britain': [0.58, 0.37, 0.05];['Yes, respects personal freedoms', 'No, does not respect personal freedoms', 'DK/Refused'];GAS;0.51;0.58;0;0;Yes, respects personal freedoms;Yes, respects personal freedoms;D. Politics and policy;3;Likert Scale
468;If an innocent people were being killed by the army, the police or another tribe, in another country, who would you trust most to do something to stop the killings?;'United States': [0.031914893617021274, 0.02127659574468085, 0.010638297872340425, 0.06382978723404255, 0.010638297872340425, 0.776595744680851, 0.02127659574468085, 0.06382978723404255], 'Britain': [0.06666666666666667, 0.03333333333333333, 0.011111111111111112, 0.5, 0.011111111111111112, 0.26666666666666666, 0.011111111111111112, 0.1];['France', 'Germany', 'China', 'Britain', 'Japan', 'United States', 'Russia', 'None of these (VOL)'];GAS;0.776595744680851;0.5;5;3;United States;Britain;G. International affairs;8;Multiple Choice
469;I’d like your opinion about some possible international concerns for your country. Do you think that ____ is a major threat, a minor threat or not a threat to your country? a. China’s power and influence;'United States': [0.48, 0.38, 0.1, 0.04], 'Britain': [0.2871287128712871, 0.43564356435643564, 0.21782178217821782, 0.0594059405940594];['Major threat', 'Minor threat', 'Not a threat', 'DK/Refused'];GAS;0.48;0.4356435643564356;0;1;Major threat;Minor threat;G. International affairs;4;Likert Scale
470;In your opinion, would it be a good thing or a bad thing if the European Union becomes as powerful as the US?;'United States': [0.39759036144578314, 0.6024096385542169], 'Britain': [0.5617977528089888, 0.43820224719101125];['Good', 'Bad'];GAS;0.6024096385542169;0.5617977528089888;1;0;Bad;Good;D. Politics and policy;2;Likert Scale
471;Over the past 20 years, do you think family ties in your country have become stronger, weaker, or do you think there has been no change?;'United States': [0.13, 0.64, 0.2, 0.03], 'Britain': [0.13131313131313133, 0.5454545454545454, 0.2828282828282828, 0.04040404040404041];['Stronger', 'Weaker', 'No change', 'DK/Refused'];GAS;0.64;0.5454545454545454;1;1;Weaker;Weaker;L. Family and relationships;4;Ordinal Scale
472;Have you heard about last year's riots by youths from immigrant and working class suburbs in France and elsewhere?;'United States': [0.5555555555555556, 0.4444444444444444], 'Britain': [0.8, 0.2];['Yes, have heard of it', 'No, have not heard of it'];GAS;0.5555555555555556;0.8;0;0;Yes, have heard of it;Yes, have heard of it;G. International affairs;2;Binary Choice
473;Which one of the following statements comes closest to your opinion about men and women as political leaders?...Men generally make better political leaders than women, or Women generally make better political leaders than men, or In general, women and men make equally good political leaders?;'United States': [0.16494845360824742, 0.061855670103092786, 0.7731958762886598], 'Britain': [0.09183673469387756, 0.061224489795918366, 0.8469387755102041];['Men generally make better political leaders than women', 'Women generally make better political leaders than men', 'In general, women and men make equally good political leaders'];GAS;0.7731958762886598;0.8469387755102041;2;2;In general, women and men make equally good political leaders;In general, women and men make equally good political leaders;D. Politics and policy;3;Likert Scale
474;(Now I am going to read you a list of things that may be problems in our country. As I read each one, please tell me if you think it is a very big problem, a moderately big problem, a small problem or not a problem at all.)...Lack of employment opportunities;'United States': [0.5454545454545454, 0.32323232323232326, 0.10101010101010101, 0.030303030303030304, 0.0], 'Britain': [0.5454545454545454, 0.31313131313131315, 0.10101010101010101, 0.04040404040404041, 0.0];['Very big problem', 'Moderately big problem', 'Small problem', 'Not a problem at all', 'DK/Refused'];GAS;0.5454545454545454;0.5454545454545454;0;0;Very big problem;Very big problem;N. Economy and work;5;Likert Scale
475;Do you think that relations these days between Muslims around the world and people in Western countries such as the United States and Europe are generally good or generally bad?;'United States': [0.4673913043478261, 0.5217391304347826, 0.010869565217391304], 'Britain': [0.42105263157894735, 0.5473684210526316, 0.031578947368421054];['Generally good', 'Generally bad', 'Neither (VOL)'];GAS;0.5217391304347826;0.5473684210526316;1;1;Generally bad;Generally bad;G. International affairs;3;Likert Scale
476;Which of these characteristics do you associate with Muslims?...Selfish...Do you associate this with Muslims or not?;'United States': [0.32954545454545453, 0.6704545454545454], 'Britain': [0.35802469135802467, 0.6419753086419753];['Yes', 'No'];GAS;0.6704545454545454;0.6419753086419753;1;1;No;No;M. Race and ethnicity;2;Binary Choice
477;Now I am going to read you a list of things that may be problems in our country.  As I read each one, please tell me if you think it is a very big problem, a moderately big problem, a small problem or not a problem at all...The spread of HIV/AIDS and other infectious diseases;'United States': [0.3979591836734694, 0.4387755102040816, 0.15306122448979592, 0.01020408163265306], 'Britain': [0.18085106382978725, 0.44680851063829785, 0.3191489361702128, 0.05319148936170213];['Very big problem', 'Moderately big problem', 'Small problem', 'Not a problem at all'];GAS;0.4387755102040816;0.4468085106382978;1;1;Moderately big problem;Moderately big problem;N. Economy and work;4;Likert Scale
478;In response to the situation involving Russia and Ukraine, do you support or oppose each of the following actions?...NATO sending arms to the Ukrainian government;'United States': [0.5168539325842697, 0.48314606741573035], 'Britain': [0.4827586206896552, 0.5172413793103449];['Support', 'Oppose'];GAS;0.5168539325842697;0.5172413793103449;0;1;Support;Oppose;D. Politics and policy;2;Binary Choice
479;Now I am going to read you a list of things that may be problems in our country.  As I read each one, please tell me if you think it is a very big problem, a moderately big problem, a small problem or not a problem at all...Crime;'United States': [0.48, 0.44, 0.07, 0.01, 0.0], 'Britain': [0.44, 0.43, 0.1, 0.01, 0.02];['Very big problem', 'Moderately big problem', 'Small problem', 'Not a problem at all', 'DK/Refused'];GAS;0.48;0.44;0;0;Very big problem;Very big problem;Q. Security;5;Likert Scale
480;Thinking about the issue of HIV/AIDS in our country, do you think HIV/AIDS is a bigger or a smaller problem now than it was 5 years ago, or is the problem of HIV/AIDS about the same as it was 5 years ago?;'United States': [0.4421052631578947, 0.15789473684210525, 0.4], 'Britain': [0.4782608695652174, 0.11956521739130435, 0.40217391304347827];['Bigger problem', 'Smaller problem', 'About the same'];GAS;0.4421052631578947;0.4782608695652174;0;0;Bigger problem;Bigger problem;N. Economy and work;3;Ordinal Scale
481;When children today in the public grow up, do you think they will be better off or worse off financially than their parents?;'United States': [0.31683168316831684, 0.6732673267326733, 0.0, 0.009900990099009901], 'Britain': [0.32, 0.64, 0.02, 0.02];['Better off', 'Worse off', 'Same (DO NOT READ)', 'DK/Refused'];GAS;0.6732673267326733;0.64;1;1;Worse off;Worse off;N. Economy and work;4;Likert Scale
482;Some feel that we should rely on a democratic form of government to solve our country's problems.  Others feel that we should rely on a leader with a strong hand to solve our country's problems.  Which comes closer to your opinion?;'United States': [0.5698924731182796, 0.43010752688172044, 0.0], 'Britain': [0.6129032258064516, 0.3870967741935484, 0.0];"['Democratic form of government', 'Strong leader', ""Don't know/Refused""]";GAS;0.5698924731182796;0.6129032258064516;0;0;Democratic form of government;Democratic form of government;D. Politics and policy;3;Multiple Choice
483;Which of these characteristics do you associate with Americans? Do you associate inventive with Americans  or not?;'United States': [0.84375, 0.15625], 'Britain': [0.6736842105263158, 0.3263157894736842];['Yes', 'No'];GAS;0.84375;0.6736842105263158;0;0;Yes;Yes;N. Economy and work;2;Binary Choice
484;In your opinion, should the International Criminal Court be allowed to try your country soldiers accused of war crimes if the your country government refuses to try them, or not?;'United States': [0.42528735632183906, 0.5747126436781609], 'Britain': [0.5591397849462365, 0.44086021505376344];['Yes, International Criminal Court should try soldiers', 'No, International Criminal Court should not try soldiers'];GAS;0.5747126436781609;0.5591397849462365;1;0;No, International Criminal Court should not try soldiers;Yes, International Criminal Court should try soldiers;D. Politics and policy;2;Binary Choice
